uid;numQ;numA;numC
0;0;3;11
2;4;0;7
7;1;0;5
9;0;2;15
12;15;17;1
13;0;11;20
16;2;0;45
17;2;0;6
18;1;7;3
19;1;3;5
20;1;0;14
21;3;0;119
25;1;0;1
27;1;1;243
28;3;0;60
29;2;8;3
31;2;4;13
32;13;107;70
33;5;41;3
35;0;42;15
36;7;2;5
38;0;1;1
44;1;7;34
45;1;0;9
47;1;0;30
48;1;3;124
55;7;18;77
56;0;1;5
57;2;9;25
58;2;0;49
59;5;4;1
60;8;1;4
61;0;1;36
63;20;5;193
66;1;0;22
67;3;48;2
68;4;195;3
71;3;0;2
74;0;2;55
75;1;4;1
76;0;1;1
77;0;15;7
80;1;0;1
81;2;4;35
82;1;2;5
83;6;2;6
84;0;3;11
86;8;1;11
87;1;0;1
92;6;4;64
93;0;4;14
94;26;27;113
96;2;0;1
99;2;0;32
100;4;13;6
101;2;0;1
116;1;0;3
119;1;0;1
121;2;183;2
122;0;4;1
123;2;0;24
129;1;0;1
132;0;1;3
133;1;0;2
134;1;4;22
135;0;13;58
138;1;0;9
140;6;2;6
143;1;0;14
144;0;2;8
145;3;2;50
146;1;14;189
148;1;2;12
149;0;1;24
151;12;42;20
152;0;1;1
155;0;312;18
158;7;13;1
162;0;1;22
163;2;0;26
165;1;0;2
166;3;0;3
167;1;1;90
170;1;0;4
176;1;0;2
177;0;5;357
180;1;2;1
181;1;0;13
183;0;1;58
185;2;1;9
186;2;2;3
188;0;1;4
189;4;26;43
190;2;2;797
192;5;125;2
193;0;1;2
197;7;0;2
202;0;1;4
204;4;0;30
208;4;9;18
210;2;1;9
211;8;28;481
213;2;0;54
216;7;13;9
217;3;0;17
219;0;1;162
220;1;0;10
223;1;1;198
228;1;1;2
230;1;0;53
231;2;0;14
237;1;0;8
239;0;1;6
241;2;1;2
244;1;1;8
246;0;1;3
249;3;38;1
253;22;3;16
254;8;3;17
255;2;8;1
257;0;3;16
261;0;4;5
264;1;1;1
265;0;3;72
266;0;1;12
267;4;45;1
268;0;1;16
269;8;3;3
270;21;1;2
273;6;1;1
277;3;1;16
279;3;0;1
280;3;0;5
281;1;1;68
283;0;2;10
285;0;2;6
288;3;27;18
290;2;2;1
291;0;13;9
292;0;4;18
294;1;0;2
295;0;1;77
298;0;1;246
300;85;20;19
301;3;1;7
302;9;30;49
303;1;0;10
305;0;10;128
308;1;0;5
309;2;0;35
310;0;6;3
311;0;2;5
316;15;10;2
320;1;1;3
321;3;0;3
322;0;3;3
324;0;10;3
325;5;0;117
327;2;1;622
328;2;4;47
329;0;1;16
333;2;1;5
334;1;0;9
345;1;0;14
347;2;4;8
350;2;4;98
361;15;2;1
365;0;1;13
366;6;6;15
368;9;10;59
370;5;3;18
373;0;1;1
374;1;0;6
375;0;1;25
376;1;0;4
377;1;20;8
380;0;1;3
383;0;6;52
384;25;0;69
386;3;0;2
388;0;8;129
390;1;0;9
394;0;1;5
395;0;2;8
397;5;10;1
399;0;3;91
401;1;0;2
402;4;0;9
405;5;0;23
406;9;31;58
410;1;0;7
412;0;1;46
413;0;1;75
414;1;0;10
419;0;1;66
421;2;1;1
424;0;1;149
428;0;2;3
429;1;7;5
436;0;3;27
440;0;1;345
444;1;1;3
446;11;3;42
452;4;0;4
455;1;0;49
458;5;4;29
460;2;0;12
461;1;3;28
462;2;0;2
466;1;0;11
470;0;1;5
471;4;3;165
475;0;2;101
479;1;0;13
480;1;1;75
481;8;7;4
482;1;0;41
484;2;274;8
485;0;51;1
488;0;14;40
490;0;1;3
491;0;3;35
493;1;1;273
494;4;1;1
495;0;6;1
496;0;1;14
498;6;2;1
500;1;3;13
505;2;6;1
506;1;66;27
510;2;18;2
511;3;4;28
516;0;1;19
518;3;35;2
519;97;19;55
520;5;512;17
521;3;8;1
528;2;1;8
532;1;0;1
536;7;0;2
537;2;1;1
540;3;1;3
543;2;0;26
544;1;1;4
547;1;0;12
549;0;31;6
550;1;0;23
552;0;5;1
553;2;0;4
554;0;1;13
555;2;0;9
560;14;3;1
561;2;9;47
562;4;10;19
563;4;8;3
565;2;9;183
566;6;10;54
567;0;1;9
569;1;0;6
572;4;42;1
573;1;0;11
576;1;10;10
577;5;102;26
578;25;13;1
579;4;1;135
583;1;0;16
584;3;1;26
585;0;16;5
588;3;2;9
589;13;36;34
591;1;3;3
593;0;1;2
596;6;978;5
598;0;1;98
599;8;2;3
606;8;6;3
609;0;1;25
612;1;0;4
614;5;0;2
616;6;1;5
619;2;0;29
624;2;2;5
625;2;2;31
628;3;6;27
634;4;19;2
635;0;10;4
637;0;1;2
638;0;1;18
639;0;1;94
643;3;0;24
644;0;1;60
648;0;1;4
649;2;9;9
651;0;1;5
652;1;0;304
659;1;1;14
662;1;49;5
663;0;2;3
664;1;0;10
665;4;23;19
666;4;7;10
672;1;1;29
674;6;16;4
676;3;0;2
677;0;1;5
678;3;6;38
682;4;2;1
683;0;4;13
684;1;4;24
685;0;1;2
688;1;0;16
689;125;20;28
690;0;3;128
691;0;7;7
694;0;2;1
695;0;10;1
698;0;2;28
699;0;7;1
703;2;0;3
704;1;0;7
708;7;3;107
709;1;1;24
711;0;1;101
714;1;0;59
715;1;0;2
718;2;51;44
722;0;2;5
725;1;0;1
727;2;7;6
730;0;1;5
731;2;7;32
733;0;1;107
734;0;1;33
735;1;0;2
739;5;46;21
742;0;11;4
746;1;0;1
748;2;0;13
749;0;24;12
752;1;1;1
753;4;0;28
757;1;0;66
758;0;11;12
759;0;1;6
760;0;1;2
762;1;0;96
763;5;1;4
764;1;0;2
766;3;1;12
767;9;1;8
768;5;2;6
769;1;2;1
775;0;1;1
776;0;195;65
778;0;7;8
780;0;9;46
784;0;1;4
788;1;7;42
793;1;0;1
795;4;26;10
800;1;0;1
802;0;1;79
804;0;1;42
807;1;1;47
809;1;0;157
813;0;1;8
815;0;1;9
817;0;1;27
818;0;1;12
819;2;11;130
825;4;2;4
831;1;4;3
833;3;0;73
841;8;3;4
843;22;52;15
844;1;11;20
845;21;10;3
846;1;0;1
850;1;0;13
852;1;3;4
858;1;0;1
861;1;55;9
862;1;1;4
863;0;4;173
864;0;1;4
865;1;0;126
866;1;12;64
873;0;30;1
874;0;1;6
875;0;3;2
877;8;137;19
879;0;1;6
880;1;0;14
882;6;5;188
884;1;2;55
887;6;0;349
890;0;1;2
892;1;0;3
893;1;0;10
894;4;2;12
898;6;0;3
901;1;0;58
902;1;72;5
903;1;0;2
905;4;17;231
909;1;1;1
910;0;2;166
911;0;1;7
912;5;1;26
913;3;25;8
915;1;2;118
916;7;15;1
921;0;1;16
923;3;0;10
930;0;4;47
933;1;3;28
936;15;28;70
937;1;1;9
938;5;0;27
947;0;1;1
950;11;4;36
951;29;89;4
955;0;14;60
956;1;11;11
964;1;0;269
966;0;1;71
969;1;121;2
970;0;1;1
974;1;5;80
975;0;18;3
976;0;18;12
978;0;1;5
982;6;0;3
985;3;0;37
987;0;42;13
988;12;127;2
989;0;1;4
991;7;15;16
993;5;2;1
994;0;2;5
995;2;7;3
1005;1;0;12
1006;0;1;9
1007;8;75;33
1011;12;0;3
1012;1;1;15
1013;1;0;7
1014;3;2;2
1015;1;8;84
1016;1;0;6
1017;1;0;5
1022;4;4;6
1029;2;25;1
1031;0;5;266
1032;3;3;2
1033;3;40;20
1038;2;0;36
1043;2;0;12
1047;0;4;1
1052;2;1;36
1054;0;2;1
1055;1;0;31
1056;0;1;5
1057;2;0;30
1058;4;765;87
1061;5;3;25
1064;0;2;81
1065;1;145;4
1067;8;2;6
1068;1;0;1
1069;18;2;18
1070;0;3;6
1072;1;0;1
1081;0;2;70
1082;2;0;8
1091;0;1;2
1093;5;4;3
1097;5;91;1
1101;2;5;28
1102;8;10;18
1106;8;2;9
1107;2;8;6
1108;3;2;1
1109;0;1;25
1112;2;0;2
1113;2;0;51
1114;1;0;2
1116;0;6;2
1117;14;1;1
1122;0;1;9
1123;0;13;100
1124;1;8;874
1125;1;3;35
1129;1;2;36
1131;1;0;11
1134;2;5;14
1139;0;3;87
1140;1;2;1
1141;3;1;24
1143;0;1;7
1149;3;0;58
1155;3;3;9
1157;10;345;6
1163;0;2;15
1165;6;12;4
1167;9;4;1
1170;0;1;2
1173;1;0;7
1174;5;0;17
1175;0;1;38
1178;4;9;20
1179;0;1;67
1181;0;1;10
1182;1;0;3
1185;2;2;52
1187;1;0;11
1189;1;0;70
1193;0;12;43
1202;0;1;23
1206;0;16;12
1207;16;14;3
1211;1;0;5
1212;0;1;1
1213;11;8;1
1216;2;165;5
1217;0;1;103
1219;0;3;25
1221;8;355;259
1222;0;1;101
1224;1;1;27
1228;8;42;1
1229;14;1;27
1233;1;0;1
1236;3;3;13
1237;0;77;3
1238;0;14;6
1240;0;2;16
1242;0;3;24
1245;5;108;114
1246;1;0;22
1247;0;1;25
1248;4;24;277
1250;0;1;11
1251;1;0;10
1252;0;1;3
1254;1;0;2
1256;0;2;20
1258;3;2;37
1259;0;9;18
1262;3;0;81
1264;1;0;149
1265;1;1;40
1266;0;3;24
1267;0;19;10
1268;0;1;1
1269;1;1;152
1273;1;0;203
1280;1;1;21
1283;2;4;1
1284;4;38;86
1285;3;69;130
1287;3;1;5
1288;1;5;26
1294;0;2;2
1295;11;2;15
1297;1;0;10
1298;7;0;28
1299;3;0;494
1300;8;4;1
1301;0;1;157
1303;5;4;1
1307;12;0;12
1308;1;0;18
1313;0;29;5
1316;2;0;1
1317;1;0;7
1318;4;13;13
1320;11;677;36
1321;0;1;8
1322;1;0;2
1324;0;3;13
1325;1;0;22
1331;6;0;79
1332;5;3;7
1333;1;0;5
1334;2;0;21
1337;8;20;5
1339;0;1;1
1344;2;0;10
1345;1;5;17
1347;2;25;17
1349;1;0;2
1351;0;1;43
1352;1;0;9
1353;1;0;32
