real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
3646881.833;3646881.833;3646881.833;3646881.833;3646881.833;3646881.833;3646881.833;3646881.833;3646881.833;3646881.833;3646881.833
152171.97;152171.97;152171.97;152171.97;152171.97;152171.97;152171.97;152171.97;152171.97;152171.97;152171.97
1009278.64;1009278.64;1705022.607;1009278.64;1705022.607;1705022.607;1705022.607;1009278.64;1009278.64;1009278.64;1009278.64
1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573
189051.05;189051.05;;189051.05;;;;189051.05;189051.05;189051.05;189051.05
9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71
;;490472.423;;490472.423;490472.423;490472.423;;;;
1303888.773;1303888.773;1303888.773;1303888.773;1303888.773;1303888.773;1303888.773;1303888.773;1303888.773;1303888.773;1303888.773
1074330.737;1074330.737;1074330.737;1074330.737;1074330.737;1074330.737;1074330.737;1074330.737;1074330.737;1074330.737;1074330.737
1103873.047;1103873.047;1103873.047;1103873.047;1103873.047;1103873.047;1103873.047;1103873.047;1103873.047;1103873.047;1103873.047
1509635.643;1509635.643;713915.704;1509635.643;713915.704;713915.704;713915.704;1509635.643;1509635.643;1509635.643;1509635.643
2753153.3;2753153.3;;2753153.3;;;;2753153.3;2753153.3;2753153.3;2753153.3
20039.263;20039.263;20039.263;20039.263;20039.263;20039.263;20039.263;20039.263;20039.263;20039.263;20039.263
2224061.217;2224061.217;70921.626;2224061.217;70921.626;70921.626;70921.626;2224061.217;2224061.217;2224061.217;2224061.217
75662.953;75662.953;75662.953;75662.953;75662.953;75662.953;75662.953;75662.953;75662.953;75662.953;75662.953
355419.083;355419.083;355419.083;355419.083;355419.083;355419.083;355419.083;355419.083;355419.083;355419.083;355419.083
799175.853;799175.853;969231.29;799175.853;969231.29;969231.29;969231.29;799175.853;799175.853;799175.853;799175.853
1330247.503;1330247.503;1330247.503;1330247.503;1330247.503;1330247.503;1330247.503;1330247.503;1330247.503;1330247.503;1330247.503
1978563.81;1978563.81;1978563.81;1978563.81;1978563.81;1978563.81;1978563.81;1978563.81;1978563.81;1978563.81;1978563.81
1032772.647;1032772.647;1032397.957;1032772.647;1032397.957;1032397.957;1032397.957;1032772.647;1032772.647;1032772.647;1032772.647
3451601.14;3451601.14;3454955.053;3451601.14;3454955.053;3454955.053;3454955.053;3451601.14;3451601.14;3451601.14;3451601.14
7234160.613;7234160.613;;7234160.613;;;;7234160.613;7234160.613;7234160.613;7234160.613
2140919.54;2140919.54;755764.677;2140919.54;755764.677;755764.677;755764.677;2140919.54;2140919.54;2140919.54;2140919.54
72083.697;72083.697;198303.294;72083.697;198303.294;198303.294;198303.294;72083.697;72083.697;72083.697;72083.697
;;72083.697;;72083.697;72083.697;72083.697;;;;
3539299.94;3539299.94;3539299.94;3539299.94;3539299.94;3539299.94;3539299.94;3539299.94;3539299.94;3539299.94;3539299.94
2591099.393;2591099.393;2591099.393;2591099.393;2591099.393;2591099.393;2591099.393;2591099.393;2591099.393;2591099.393;2591099.393
903087.347;903087.347;903087.347;903087.347;903087.347;903087.347;903087.347;903087.347;903087.347;903087.347;903087.347
445744.647;445744.647;;445744.647;;;;445744.647;445744.647;445744.647;445744.647
2425912.75;2425912.75;2425730.647;2425912.75;2425730.647;2425730.647;2425730.647;2425912.75;2425912.75;2425912.75;2425912.75
33308.34;33308.34;33308.34;33308.34;33308.34;33308.34;33308.34;33308.34;33308.34;33308.34;33308.34
228.93;228.93;744724.843;228.93;744724.843;744724.843;744724.843;228.93;228.93;228.93;228.93
982338.433;982338.433;982338.433;982338.433;982338.433;982338.433;982338.433;982338.433;982338.433;982338.433;982338.433
831045.807;831045.807;831045.807;831045.807;831045.807;831045.807;831045.807;831045.807;831045.807;831045.807;831045.807
211645.233;211645.233;19915.727;211645.233;19915.727;19915.727;19915.727;211645.233;211645.233;211645.233;211645.233
361978.153;361978.153;;361978.153;;;;361978.153;361978.153;361978.153;361978.153
1121252.837;1121252.837;445234.641;1121252.837;445234.641;445234.641;445234.641;1121252.837;1121252.837;1121252.837;1121252.837
502746.393;502746.393;502746.393;502746.393;502746.393;502746.393;502746.393;502746.393;502746.393;502746.393;502746.393
2373561.85;2373561.85;234989.12;2373561.85;234989.12;234989.12;234989.12;2373561.85;2373561.85;2373561.85;2373561.85
