real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
420386.82;420386.82;420386.82;420386.82;420386.82;420386.82;420386.82;420386.82;420386.82;420386.82;420386.82
3013394.347;3013394.347;334481.576;3013394.347;334481.576;334481.576;334481.576;3013394.347;3013394.347;3013394.347;3013394.347
;;5451717.103;;5451717.103;5451717.103;5451717.103;;;;
5387661.98;5387661.98;5387661.98;5387661.98;5387661.98;5387661.98;5387661.98;5387661.98;5387661.98;5387661.98;5387661.98
242727.607;797157.787;2607716.27;1237681.88;559274.544;173553.794;577404.883;3522072.18;1017918.414;527196.138;396330.897
;;;521983.79;;;6429.417;;14598.724;25119.068;
;;;;;;1386.3;;14754.647;3041463.454;
;;;;;;53719.807;;66561.757;;
81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26
946927.243;946927.243;1857303.514;946927.243;2925807.404;946927.243;1857303.514;946927.243;946927.243;946927.243;1857303.514
197404.133;197404.133;76606.387;469492.497;76606.387;469492.497;76606.387;469492.497;197404.133;197404.133;469492.497
76606.387;76606.387;;76606.387;;76606.387;;76606.387;76606.387;76606.387;76606.387
76729.363;549212.063;379208.287;205845.224;209093.074;959383.581;209093.074;61758.86;3514461.82;190292.5;108619.284
43553.663;43553.663;35116.723;157723.3;11237.48;72715.4;35116.723;28211.584;157723.3;157723.3;157723.3
;;157723.3;;157723.3;;157723.3;157723.3;;;
262604.59;262604.59;262604.59;262604.59;262604.59;262604.59;262604.59;262604.59;262604.59;262604.59;262604.59
2837891.77;2837891.77;2837891.77;2837891.77;2837891.77;2837891.77;2837891.77;2837891.77;2837891.77;2837891.77;2837891.77
529121.183;529121.183;529121.183;529121.183;529121.183;529121.183;529121.183;529121.183;529121.183;529121.183;529121.183
4154764.887;4154764.887;4154764.887;4154764.887;4154764.887;4154764.887;4154764.887;4154764.887;4154764.887;4154764.887;4154764.887
29820.387;29820.387;29820.387;29820.387;29820.387;29820.387;29820.387;29820.387;29820.387;29820.387;29820.387
72978.427;3896.193;72978.427;72978.427;144915.381;3896.193;72978.427;3896.193;72978.427;3896.193;92255.807
191766.233;3653.767;359325.847;191766.233;466529.511;191766.233;244212.557;191766.233;5946.807;191766.233;680939.977
5946.807;5946.807;680939.977;167268.363;226799.357;19920.653;680939.977;167268.363;219927.937;5946.807;174139.783
72580.227;72580.227;226799.357;226799.357;;174139.783;226799.357;174139.783;226799.357;72580.227;
226799.357;226799.357;;;;;;;;226799.357;
342130.68;342130.68;342130.68;342130.68;342130.68;342130.68;342130.68;342130.68;342130.68;342130.68;342130.68
1598096.247;1598096.247;1598096.247;1598096.247;1598096.247;1598096.247;1598096.247;1598096.247;1598096.247;1598096.247;1598096.247
3690001.717;3690001.717;3690001.717;3690001.717;3690001.717;3690001.717;3690001.717;3690001.717;3690001.717;3690001.717;3690001.717
316557.32;316557.32;316557.32;316557.32;316557.32;316557.32;316557.32;316557.32;316557.32;316557.32;316557.32
304.157;8338.604;486937.973;304.157;486937.973;492260.526;495117.74;304.157;304.157;304.157;495117.74
1500.81;304.157;;;;;;;;1500.81;
;1500.81;;;;;;;;;
149950.813;149950.813;149950.813;149950.813;149950.813;149950.813;149950.813;149950.813;149950.813;149950.813;149950.813
3324179.023;3324179.023;3324179.023;3324179.023;3324179.023;3324179.023;3324179.023;3324179.023;3324179.023;3324179.023;3324179.023
3042202.717;3042202.717;3042202.717;3042202.717;3042202.717;3042202.717;3042202.717;3042202.717;3042202.717;3042202.717;3042202.717
79777.813;767173.199;964887.054;4516157.854;1673517.921;1058112.463;1166853.654;881924.684;889169.753;1375980.836;690425.867
598707.41;598707.41;256865.317;103032.627;976231.031;230769.186;79721.127;60893.001;191882.863;598707.41;686988.977
164673.237;164673.237;1519661.824;597402.968;910915.748;857894.13;164673.237;20171.73;675135.407;77809.44;1949785.484
;;681939.424;688348.765;17784.417;138150.637;;95467.237;74898.403;164673.237;161919.428
;;71816.244;84029.761;164673.237;164673.237;;164673.237;164673.237;;95467.237
;;141022.244;;;;;;;;164673.237
71590.117;71590.117;71590.117;71590.117;71590.117;71590.117;71590.117;71590.117;71590.117;71590.117;71590.117
208984.94;46186.717;404870.84;208984.94;404870.84;567669.063;674471.477;208984.94;208984.94;208984.94;674471.477
349893.663;349893.663;836452.977;320628.077;836452.977;999251.2;999251.2;320628.077;320628.077;349893.663;320628.077
1544150.8;1544150.8;;1544150.8;;;;1544150.8;1544150.8;1544150.8;1544150.8
2743539.703;2743539.703;2743539.703;2743539.703;2743539.703;2743539.703;2743539.703;2743539.703;2743539.703;2743539.703;2743539.703
8554131.813;8554131.813;8554131.813;8554131.813;8554131.813;8554131.813;8554131.813;8554131.813;8554131.813;8554131.813;8554131.813
175789.53;175789.53;175789.53;175789.53;175789.53;175789.53;175789.53;175789.53;175789.53;175789.53;175789.53
59318.643;59318.643;216048.21;59318.643;216048.21;216048.21;216048.21;59318.643;59318.643;59318.643;59318.643
72705.323;72705.323;72705.323;72705.323;72705.323;72705.323;72705.323;72705.323;72705.323;72705.323;72705.323
803999.443;803999.443;803999.443;803999.443;803999.443;803999.443;803999.443;803999.443;803999.443;803999.443;803999.443
145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8
242409.953;242409.953;569947.503;242409.953;881451.997;242409.953;569947.503;242409.953;242409.953;242409.953;569947.503
1388439.15;1388439.15;3722157.7;2375982.656;3722157.7;2375982.656;3722157.7;2375982.656;1388439.15;1388439.15;2375982.656
1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853
943213.353;943213.353;943213.353;943213.353;943213.353;943213.353;943213.353;943213.353;943213.353;943213.353;943213.353
984541.447;984541.447;897517.82;984541.447;911746.38;984541.447;897517.82;984541.447;984541.447;984541.447;897517.82
199829.43;4417847.26;1219993.306;199829.43;1219993.306;199829.43;199829.43;199829.43;199829.43;199829.43;199829.43
5648404.617;;8301355.083;5648404.617;8301355.083;712878.663;7281191.207;5648404.617;5648404.617;5648404.617;7281191.207
;;;;;9531912.44;;;;;
4404671.98;2573140.817;374572.957;4404671.98;4706018.479;17655.51;1308765.683;204400.233;4469134.827;1783138.5;374572.957
87159.52;87159.52;81786.283;673607.377;;809598.417;639425.693;639425.693;673607.377;2420.347;668234.14
;;1615044.743;;;22696.673;;609144.53;;8538000.277;7358633.07
;;;;;;;;;87159.52;
1252565.64;141519.154;3043183.53;1252565.64;165590.41;3043183.53;137424.27;141519.154;137424.27;141519.154;5384152.934
6785789.347;6785789.347;;6757623.207;;;;4962910.433;;6785789.347;
;;;;4772.027;41129.864;;;;;516646.704
255364.867;255364.867;255364.867;255364.867;255364.867;255364.867;255364.867;255364.867;255364.867;255364.867;255364.867
