real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
571350.693;571350.693;571350.693;571350.693;571350.693;571350.693;571350.693;571350.693;571350.693;571350.693;571350.693
2601730.03;2601730.03;1905986.063;2601730.03;1905986.063;1905986.063;1905986.063;2601730.03;2601730.03;2601730.03;2601730.03
3359517.393;3359517.393;3359517.393;3359517.393;3359517.393;3359517.393;3359517.393;3359517.393;3359517.393;3359517.393;3359517.393
789874.427;789874.427;532589.77;789874.427;532589.77;532589.77;532589.77;789874.427;789874.427;789874.427;789874.427
155627.95;155627.95;;155627.95;;;;155627.95;155627.95;155627.95;155627.95
553202.29;553202.29;553202.29;553202.29;553202.29;553202.29;553202.29;553202.29;553202.29;553202.29;553202.29
;;1286730.577;;1286730.577;1286730.577;1286730.577;;;;
3724096.263;3724096.263;2500937.001;3724096.263;2500937.001;2500937.001;2500937.001;3724096.263;3724096.263;3724096.263;3724096.263
561147.5;561147.5;561147.5;561147.5;561147.5;561147.5;561147.5;561147.5;561147.5;561147.5;561147.5
38368.953;38368.953;38368.953;38368.953;38368.953;38368.953;38368.953;38368.953;38368.953;38368.953;38368.953
8779794.357;8779794.357;1726323.7;8779794.357;1726323.7;1726323.7;1726323.7;8779794.357;8779794.357;8779794.357;8779794.357
1726323.7;1726323.7;;1726323.7;;;;1726323.7;1726323.7;1726323.7;1726323.7
697178.033;697178.033;697178.033;697178.033;697178.033;697178.033;697178.033;697178.033;697178.033;697178.033;697178.033
904836.783;904836.783;3057976.374;904836.783;3057976.374;3057976.374;3057976.374;904836.783;904836.783;904836.783;904836.783
67449.047;67449.047;67449.047;67449.047;67449.047;67449.047;67449.047;67449.047;67449.047;67449.047;67449.047
1473993.917;1473993.917;1303938.48;1473993.917;1303938.48;1303938.48;1303938.48;1473993.917;1473993.917;1473993.917;1473993.917
1446862.71;1446862.71;1446862.71;1446862.71;1446862.71;1446862.71;1446862.71;1446862.71;1446862.71;1446862.71;1446862.71
1891017.913;1891017.913;2032960.497;1891017.913;2032960.497;2032960.497;2032960.497;1891017.913;1891017.913;1891017.913;1891017.913
7610491.5;7610491.5;7610866.19;7610491.5;7610866.19;7610866.19;7610866.19;7610491.5;7610491.5;7610491.5;7610491.5
2126249.353;2126249.353;2126249.353;2126249.353;2126249.353;2126249.353;2126249.353;2126249.353;2126249.353;2126249.353;2126249.353
8646310.947;8646310.947;8646310.947;8646310.947;8646310.947;8646310.947;8646310.947;8646310.947;8646310.947;8646310.947;8646310.947
1232686.387;1232686.387;;1232686.387;;;;1232686.387;1232686.387;1232686.387;1232686.387
3298475.46;3298475.46;3565252.323;3298475.46;3565252.323;3565252.323;3565252.323;3298475.46;3298475.46;3298475.46;3298475.46
103942.303;103942.303;1370381.706;103942.303;1370381.706;1370381.706;1370381.706;103942.303;103942.303;103942.303;103942.303
;;103942.303;;103942.303;103942.303;103942.303;;;;
4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06
1652898.607;1652898.607;1554244.754;1652898.607;1554244.754;1554244.754;1554244.754;1652898.607;1652898.607;1652898.607;1652898.607
348419.157;348419.157;348419.157;348419.157;348419.157;348419.157;348419.157;348419.157;348419.157;348419.157;348419.157
192223.353;192223.353;;192223.353;;;;192223.353;192223.353;192223.353;192223.353
614006.25;614006.25;614006.25;614006.25;614006.25;614006.25;614006.25;614006.25;614006.25;614006.25;614006.25
392060.66;392060.66;392060.66;392060.66;392060.66;392060.66;392060.66;392060.66;392060.66;392060.66;392060.66
29811.07;29811.07;1240032.157;29811.07;1240032.157;1240032.157;1240032.157;29811.07;29811.07;29811.07;29811.07
1005320.567;1005320.567;1005320.567;1005320.567;1005320.567;1005320.567;1005320.567;1005320.567;1005320.567;1005320.567;1005320.567
129936.193;129936.193;129936.193;129936.193;129936.193;129936.193;129936.193;129936.193;129936.193;129936.193;129936.193
595.767;595.767;3997730.847;595.767;3997730.847;3997730.847;3997730.847;595.767;595.767;595.767;595.767
3997730.847;3997730.847;;3997730.847;;;;3997730.847;3997730.847;3997730.847;3997730.847
2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163
48485.877;48485.877;2882728.607;48485.877;2882728.607;2882728.607;2882728.607;48485.877;48485.877;48485.877;48485.877
173252.15;173252.15;460680.88;173252.15;460680.88;460680.88;460680.88;173252.15;173252.15;173252.15;173252.15
;;173252.15;;173252.15;173252.15;173252.15;;;;
288746.317;288746.317;288302.92;288746.317;288302.92;288302.92;288302.92;288746.317;288746.317;288746.317;288746.317
9001.65;9001.65;9001.65;9001.65;9001.65;9001.65;9001.65;9001.65;9001.65;9001.65;9001.65
12121539.963;12121539.963;5690027.171;12121539.963;5690027.171;5690027.171;5690027.171;12121539.963;12121539.963;12121539.963;12121539.963
203546.08;203546.08;203546.08;203546.08;203546.08;203546.08;203546.08;203546.08;203546.08;203546.08;203546.08
1208372.367;1208372.367;124737.793;1208372.367;124737.793;124737.793;124737.793;1208372.367;1208372.367;1208372.367;1208372.367
4842730.45;4842730.45;4842730.45;4842730.45;4842730.45;4842730.45;4842730.45;4842730.45;4842730.45;4842730.45;4842730.45
4224151.07;4224151.07;4224151.07;4224151.07;4224151.07;4224151.07;4224151.07;4224151.07;4224151.07;4224151.07;4224151.07
893533.453;893533.453;5496892.034;893533.453;5496892.034;5496892.034;5496892.034;893533.453;893533.453;893533.453;893533.453
346794.417;346794.417;346794.417;346794.417;346794.417;346794.417;346794.417;346794.417;346794.417;346794.417;346794.417
423531.427;423531.427;3999.819;423531.427;3999.819;3999.819;3999.819;423531.427;423531.427;423531.427;423531.427
2457.147;2457.147;2457.147;2457.147;2457.147;2457.147;2457.147;2457.147;2457.147;2457.147;2457.147
;;1822387.161;;1822387.161;1822387.161;1822387.161;;;;
522115.813;522115.813;522115.813;522115.813;522115.813;522115.813;522115.813;522115.813;522115.813;522115.813;522115.813
855.333;855.333;1126914.084;855.333;1126914.084;1126914.084;1126914.084;855.333;855.333;855.333;855.333
1128858.06;1128858.06;1128858.06;1128858.06;1128858.06;1128858.06;1128858.06;1128858.06;1128858.06;1128858.06;1128858.06
443891.05;443891.05;443891.05;443891.05;443891.05;443891.05;443891.05;443891.05;443891.05;443891.05;443891.05
685009.45;685009.45;171347.55;685009.45;171347.55;171347.55;171347.55;685009.45;685009.45;685009.45;685009.45
787843.95;787843.95;787843.95;787843.95;787843.95;787843.95;787843.95;787843.95;787843.95;787843.95;787843.95
2416435.05;2416435.05;2416131.157;2416435.05;2416131.157;2416131.157;2416131.157;2416435.05;2416435.05;2416435.05;2416435.05
862562.28;862562.28;862562.28;862562.28;862562.28;862562.28;862562.28;862562.28;862562.28;862562.28;862562.28
2135393.333;2135393.333;2187890.33;2135393.333;2187890.33;2187890.33;2187890.33;2135393.333;2135393.333;2135393.333;2135393.333
574724.407;574724.407;574724.407;574724.407;574724.407;574724.407;574724.407;574724.407;574724.407;574724.407;574724.407
7314.473;7314.473;7314.473;7314.473;7314.473;7314.473;7314.473;7314.473;7314.473;7314.473;7314.473
259088.927;259088.927;1100133.23;259088.927;1100133.23;1100133.23;1100133.23;259088.927;259088.927;259088.927;259088.927
1100133.23;1100133.23;;1100133.23;;;;1100133.23;1100133.23;1100133.23;1100133.23
2565.613;2565.613;2565.613;2565.613;2565.613;2565.613;2565.613;2565.613;2565.613;2565.613;2565.613
24234.143;24234.143;15970.877;24234.143;15970.877;15970.877;15970.877;24234.143;24234.143;24234.143;24234.143
15970.877;15970.877;;15970.877;;;;15970.877;15970.877;15970.877;15970.877
4886167.98;4886167.98;4886167.98;4886167.98;4886167.98;4886167.98;4886167.98;4886167.98;4886167.98;4886167.98;4886167.98
533393.74;533393.74;533393.74;533393.74;533393.74;533393.74;533393.74;533393.74;533393.74;533393.74;533393.74
3545114.343;3545114.343;3540856.62;3545114.343;3540856.62;3540856.62;3540856.62;3545114.343;3545114.343;3545114.343;3545114.343
4697640.947;4697640.947;2581345.6;4697640.947;2581345.6;2581345.6;2581345.6;4697640.947;4697640.947;4697640.947;4697640.947
7676768.96;7676768.96;7614040.657;7676768.96;7614040.657;7614040.657;7614040.657;7676768.96;7676768.96;7676768.96;7676768.96
25183.777;25183.777;25183.777;25183.777;25183.777;25183.777;25183.777;25183.777;25183.777;25183.777;25183.777
1736961.467;1736961.467;1736673.341;1736961.467;1736673.341;1736673.341;1736673.341;1736961.467;1736961.467;1736961.467;1736961.467
2179700.527;2179700.527;2179700.527;2179700.527;2179700.527;2179700.527;2179700.527;2179700.527;2179700.527;2179700.527;2179700.527
10319535.637;10319535.637;10319535.637;10319535.637;10319535.637;10319535.637;10319535.637;10319535.637;10319535.637;10319535.637;10319535.637
5444086.273;5444086.273;5444086.273;5444086.273;5444086.273;5444086.273;5444086.273;5444086.273;5444086.273;5444086.273;5444086.273
1289703.28;1289703.28;1289703.28;1289703.28;1289703.28;1289703.28;1289703.28;1289703.28;1289703.28;1289703.28;1289703.28
211641.74;211641.74;211641.74;211641.74;211641.74;211641.74;211641.74;211641.74;211641.74;211641.74;211641.74
3351667.28;3351667.28;160110.227;3351667.28;160110.227;160110.227;160110.227;3351667.28;3351667.28;3351667.28;3351667.28
;;3351667.28;;3351667.28;3351667.28;3351667.28;;;;
356771.183;356771.183;284104.346;356771.183;284104.346;284104.346;284104.346;356771.183;356771.183;356771.183;356771.183
2264256.333;2264256.333;2264256.333;2264256.333;2264256.333;2264256.333;2264256.333;2264256.333;2264256.333;2264256.333;2264256.333
175818.737;175818.737;197541.213;175818.737;197541.213;197541.213;197541.213;175818.737;175818.737;175818.737;175818.737
179106.07;179106.07;179106.07;179106.07;179106.07;179106.07;179106.07;179106.07;179106.07;179106.07;179106.07
982939.667;982939.667;982939.667;982939.667;982939.667;982939.667;982939.667;982939.667;982939.667;982939.667;982939.667
531722.003;531722.003;91670.386;531722.003;91670.386;91670.386;91670.386;531722.003;531722.003;531722.003;531722.003
99351.407;99351.407;99351.407;99351.407;99351.407;99351.407;99351.407;99351.407;99351.407;99351.407;99351.407
10678646.193;10678646.193;1689266.827;10678646.193;1689266.827;1689266.827;1689266.827;10678646.193;10678646.193;10678646.193;10678646.193
;;10678646.193;;10678646.193;10678646.193;10678646.193;;;;
