real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
1387866.777;100731.647;1387866.777;1387866.777;1215749.31;1387866.777;1387866.777;100731.647;1387866.777;100731.647;100731.647
150093.983;727547.237;150093.983;150093.983;1674559.377;150093.983;780444.18;899664.704;960180.986;899664.704;15120.841
1659.04;3467535.637;608326.713;1659.04;708291.583;5367892.177;708291.583;3819389.91;519077.043;3467535.637;4080757.047
3467535.637;2321295.64;708291.583;3639653.104;2321295.64;141560.234;2321295.64;2321295.64;2321295.64;2321295.64;880409.05
2321295.64;;2321295.64;2321295.64;;868677.767;;;;;2321295.64
;;;;;167222.77;;;;;
;;;;;2321295.64;;;;;
944122.83;944122.83;944122.83;944122.83;944122.83;944122.83;944122.83;944122.83;944122.83;944122.83;944122.83
369907.223;369907.223;97801.114;369907.223;97801.114;97801.114;97801.114;369907.223;369907.223;369907.223;369907.223
782308.4;782308.4;782308.4;782308.4;782308.4;782308.4;782308.4;782308.4;782308.4;782308.4;782308.4
1047990.443;1068682.043;507515.963;2201468.11;1785109.33;412537.983;2049396.554;492259.164;1300474.78;714348.567;492259.164
;;;;;;;244554.427;;;
2496592.067;2496592.067;2496592.067;2496592.067;2496592.067;2496592.067;2496592.067;2496592.067;2496592.067;2496592.067;2496592.067
2305340.673;2616542.78;1625498.203;2305340.673;1625498.203;2616542.78;1625498.203;2616542.78;2065122.379;2616542.78;1865716.497
777239.617;777239.617;777239.617;777239.617;777239.617;777239.617;777239.617;777239.617;777239.617;777239.617;777239.617
200988.333;4179162.686;1825586.346;692583.58;6735.669;116387.922;73494.776;2753064.004;1509276.341;5071518.93;799502.706
840216.24;1981094.377;3632938.433;553099.133;3810403.287;1621108.206;799502.706;1215434.47;1981094.377;191920.556;1215434.47
1981094.377;;1981094.377;940840.65;1981094.377;1215434.47;1438730.613;1981094.377;;1981094.377;1981094.377
;;;1981094.377;;1981094.377;1981094.377;;;;
;;142386.59;;;92329.253;;;;;142386.59
9378237.193;9378237.193;1140613.013;6521970.046;2067300.86;6521970.046;1140613.013;6521970.046;9378237.193;9378237.193;1140613.013
545700.04;545700.04;2067300.86;574109.893;574109.893;574109.893;2067300.86;574109.893;545700.04;545700.04;6521970.046
574109.893;574109.893;574109.893;;;;574109.893;;574109.893;574109.893;574109.893
8470.903;8470.903;122690.506;8470.903;122690.506;8470.903;122690.506;8470.903;8470.903;8470.903;8470.903
;;8470.903;;8470.903;;8470.903;;;;
1338527.597;1338527.597;1338527.597;1338527.597;1338527.597;1338527.597;1338527.597;1338527.597;1338527.597;1338527.597;1338527.597
129542.61;129542.61;129542.61;129542.61;129542.61;128928.213;129542.61;129542.61;129542.61;129542.61;2389.433
1588764.073;4397204.577;547383.797;866612.969;127872.103;159408.833;985829.523;4613247.84;44551.424;44551.424;758733.323
;896058.391;;;105304.963;156533.143;59005.169;58639.333;8460.377;209902.904;222224.166
;;;;;593940.986;76223.146;;416861.374;;74256.026
9811293.71;9811293.71;9811293.71;9811293.71;9811293.71;9811293.71;9811293.71;9811293.71;9811293.71;9811293.71;9811293.71
199019.847;199019.847;199019.847;199019.847;199019.847;199019.847;199019.847;199019.847;199019.847;199019.847;199019.847
287855.897;287855.897;16945.147;287855.897;12956.943;287855.897;16945.147;287855.897;287855.897;287855.897;16945.147
46249.993;46249.993;15675.243;263224.197;15675.243;263224.197;15675.243;263224.197;46249.993;46249.993;263224.197
65284.293;65284.293;65284.293;65284.293;65284.293;65284.293;65284.293;65284.293;65284.293;65284.293;65284.293
151113.383;31071.037;;994283.477;358874.271;;;965261.78;359084.602;151113.383;
85249.183;643565.997;;;32812.258;;;;33022.589;85249.183;
;206283.357;;;;;;;104432.293;;
;85249.183;;;;;;;;;
20929.003;20929.003;20929.003;20929.003;20929.003;20929.003;20929.003;20929.003;20929.003;20929.003;20929.003
5086.543;5086.543;5086.543;5086.543;5086.543;5086.543;5086.543;5086.543;5086.543;5086.543;5086.543
6049288.843;6049288.843;6049288.843;6049288.843;6049288.843;6049288.843;6049288.843;6049288.843;6049288.843;6049288.843;6049288.843
;;;;;;;251422.656;;;
836979.7;836979.7;1294355.474;1902559.37;1294355.474;1902559.37;1294355.474;1902559.37;836979.7;836979.7;1902559.37
;;836979.7;836979.7;836979.7;836979.7;836979.7;836979.7;;;836979.7
170326.003;170326.003;170326.003;170326.003;170326.003;170326.003;170326.003;170326.003;170326.003;170326.003;170326.003
4065.88;4065.88;4065.88;4065.88;4065.88;4065.88;4065.88;4065.88;4065.88;4065.88;4065.88
;;2568.784;;2568.784;2568.784;2568.784;;;;
14324.4;14324.4;14324.4;14324.4;14324.4;14324.4;14324.4;14324.4;14324.4;14324.4;14324.4
28831.333;28831.333;28831.333;28831.333;28831.333;28831.333;28831.333;28831.333;28831.333;28831.333;28831.333
614340.563;614340.563;614340.563;614340.563;614340.563;614340.563;614340.563;614340.563;614340.563;614340.563;614340.563
437068.853;437068.853;2175252.12;437068.853;2175252.12;2175252.12;2175252.12;437068.853;437068.853;437068.853;437068.853
6374744.417;6374744.417;333370.684;6374744.417;333370.684;333370.684;333370.684;6374744.417;6374744.417;6374744.417;6374744.417
;;6374744.417;;6374744.417;6374744.417;6374744.417;;;;
82293.68;82293.68;82293.68;82293.68;82293.68;82293.68;82293.68;82293.68;82293.68;82293.68;82293.68
9725931.94;9725931.94;9725931.94;9725931.94;9725931.94;9725931.94;9725931.94;9725931.94;9725931.94;9725931.94;9725931.94
948187.513;;;793888.263;;;;;;;
1316798.497;1316798.497;1091359.843;438214.506;179528.034;179528.034;179528.034;438214.506;438214.506;1316798.497;438214.506
237738.393;237738.393;237738.393;237738.393;237738.393;237738.393;237738.393;237738.393;237738.393;237738.393;237738.393
71917.677;71917.677;71917.677;71917.677;71917.677;71917.677;71917.677;71917.677;71917.677;71917.677;71917.677
226611.94;226611.94;226611.94;226611.94;226611.94;226611.94;226611.94;226611.94;226611.94;226611.94;164131.036
34724.913;31249.777;24341.403;713460.024;24341.403;31249.777;24341.403;31249.777;97205.817;31249.777;650979.12
169076.24;34724.913;169076.24;4995.144;169076.24;650979.12;169076.24;650979.12;4995.144;34724.913;169076.24
;169076.24;;169076.24;;169076.24;;169076.24;169076.24;169076.24;
1215044.577;1215044.577;190676.21;1215044.577;190676.21;1215044.577;190676.21;1215044.577;1215044.577;1215044.577;1178419.15
1930244.67;1930244.67;1930244.67;1930244.67;1930244.67;1930244.67;1930244.67;1930244.67;1930244.67;1930244.67;1930244.67
71936.713;71936.713;71936.713;71936.713;71936.713;71936.713;71936.713;71936.713;71936.713;71936.713;71936.713
22304.84;;;182741.269;;15000.704;;;38466.399;190518.765;116212.474
370474.867;370474.867;440000.84;370474.867;440000.84;440000.84;440000.84;370474.867;370474.867;370474.867;370474.867
7723521.46;7723521.46;7723521.46;7723521.46;7723521.46;7723521.46;7723521.46;7723521.46;7723521.46;7723521.46;7723521.46
784479.357;949722.303;636190.837;820571.126;1908990.573;1172818.58;719216.442;69651.667;512124.676;1501523.537;410468.757
1727976.457;1190497.523;178227.23;465686.336;27550.886;918351.667;1691253.258;283262.851;2671015.166;2351226.902;98671.367
592897.533;552394.963;266166.617;93666.946;268205.226;923287.051;963242.745;1407460.571;147109.483;54882.392;3836477.574
;46961.407;4165074.227;11211.616;812347.588;25830.923;;3132.263;;591925.019;2181240.168
;;2177013.301;10589.289;383185.596;;;;;;29343.507
;;182541.791;;12864.18;;;;;;
;;12945.464;;;;;;;;
1361082.407;1361082.407;1361082.407;1361082.407;1361082.407;1361082.407;1361082.407;1361082.407;1361082.407;1361082.407;1361082.407
479.35;1893.223;1893.223;1893.223;1893.223;1893.223;1893.223;1893.223;1893.223;1893.223;479.35
1451.11;2786.327;858.15;1698.293;2786.327;1698.293;24803.32;10256.163;181.156;1806.419;284.42
5033.61;26459.407;4226.91;16443.34;15449.267;464.053;712.717;15909.74;9593.089;42137.919;4044.95
2098.68;15020.461;886.843;67269.87;1171.797;1394.87;58785.777;5495.251;123698.184;178318.75;9252.877
10655.8;3101.991;612.906;10961.13;103719.547;8755.85;5058.717;44281.371;13056.69;3487.876;4370.974
