real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
41817.947;1018163.093;307365.501;168485.465;499105.695;156401.209;564833.508;1888293.205;137819.121;305674.374;1011931.477
160603.68;160603.68;160603.68;160603.68;160603.68;160603.68;160603.68;160603.68;160603.68;160603.68;160603.68
621018.47;312805.781;1030441.624;1032681.843;707582.647;405906.293;304081.99;325730.363;711166.603;707582.647;957725.646
131526.617;90827.218;199826.804;3429.744;219759.427;203296.803;104378.827;554136.296;44566.12;12452.717;54802.793
32251.103;1220094.158;248711.554;274808.344;246839.297;43536.009;198277.247;166330.271;96301.986;16648.584;1836703.69
323852.227;948532.198;317723.701;34587.167;1327673.004;151690.583;272581.993;7921.311;163309.12;209523.207;92142.246
891408.15;1776165.302;17685.801;16830.741;143086.276;18435.43;625994.916;146465.288;5105.933;306718.354;228573.883
139311.56;;523635.221;2450483.228;1631900.59;415803.88;1010348.623;273787.211;1378533.13;205946.462;4431.047
151365.36;;578355.153;1479211.031;;1187895.932;85121.708;913633.778;740300.563;40858.198;8733.134
183052.783;;779211.022;2025415.707;;199243.627;;47472.282;243600.603;157840.944;1159701.031
83952.69;;;31094.61;;253710.44;;1581117.343;124883.906;1879574.78;88353.994
2304.053;;;107683.65;;;;1663862.266;934592.543;;1966.817
;;;;;;;39338.936;1061365.326;;
;;;;;;;44509.023;;;
299558.547;299558.547;299558.547;299558.547;299558.547;299558.547;299558.547;299558.547;299558.547;299558.547;299558.547
2896367.65;2896367.65;2896367.65;2896367.65;2896367.65;2896367.65;2896367.65;2896367.65;2896367.65;2896367.65;2896367.65
336296.933;336296.933;336296.933;336296.933;336296.933;336296.933;336296.933;336296.933;336296.933;336296.933;336296.933
1891132.633;1891132.633;1891132.633;1891132.633;1891132.633;1891132.633;1891132.633;1891132.633;1891132.633;1891132.633;1891132.633
328002.67;328002.67;328002.67;328002.67;328002.67;328002.67;328002.67;328002.67;328002.67;328002.67;328002.67
1218184.437;1188241.01;495519.62;1183944.203;10835887.676;10810656.553;1183944.203;1853434.01;10810656.553;1360328.603;642376.09
6275312.463;6275312.463;;6250081.34;461279.386;7579.787;6733271.096;6712790.05;7579.787;6275312.463;
906267.743;32812.57;54456.964;583432.276;85018.823;185147.4;257560.23;81769.293;906267.743;180033.176;906267.743
131797.227;74282.783;86590.537;600296.636;70230.673;505258.34;235146.503;287632.907;71310.12;508408.714;1950336.316
236543.79;236514.349;422432.874;;2043659.82;3443313.964;1355061.663;607990.384;2902063.953;93041.987;88150.19
;849163.709;;;279154.317;;;17181.721;;584914.241;
;934082.432;;;;;;417911.524;;402454.144;
;63548.393;;;;;;;;;
1026179.52;1026179.52;1026179.52;1026179.52;1026179.52;1026179.52;1026179.52;1026179.52;1026179.52;1026179.52;1026179.52
215430.383;215430.383;762900.71;215430.383;441403.05;215430.383;762900.71;215430.383;215430.383;215430.383;138401.043
2882196.913;2882196.913;87979.573;138401.043;87979.573;138401.043;87979.573;138401.043;2882196.913;2882196.913;87979.573
87979.573;87979.573;;87979.573;;87979.573;;87979.573;87979.573;87979.573;
608424.737;608424.737;608424.737;608424.737;608424.737;608424.737;608424.737;608424.737;608424.737;608424.737;608424.737
572454.913;63127.577;572454.913;572454.913;77757.551;63127.577;572454.913;63127.577;572454.913;63127.577;573935.796
19178.753;128260.391;337399.856;19178.753;228825.494;19178.753;335918.973;19178.753;692250.727;19178.753;337399.856
688824.567;688824.567;1144659.67;107594.813;2286.51;109075.696;1144659.67;107594.813;688824.567;688824.567;109075.696
2286.51;2286.51;2286.51;805.627;;2286.51;2286.51;2286.51;805.627;2286.51;2286.51
1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573;1137555.573
189051.05;189051.05;;189051.05;;;;189051.05;189051.05;189051.05;189051.05
4104133.72;87976.71;4553725.693;5053669.416;4711119.123;5358327.59;4609447.604;6088728.045;170443.922;5628197.543;4832544.762
3187574.277;3187574.277;2920987.001;669812.463;3816318.263;4508778.423;581689.314;2475691.019;2272875.156;997093.443;871587.282
242460.473;242460.473;150008.207;106445.42;242460.473;85067.043;3912.467;151867.853;106445.42;242460.473;141787.166
9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71;9349959.71
;;490472.423;;490472.423;490472.423;490472.423;;;;
840696.743;840696.743;840696.743;840696.743;840696.743;840696.743;840696.743;840696.743;840696.743;840696.743;840696.743
1298.03;1298.03;1298.03;1298.03;1298.03;1298.03;1298.03;1298.03;1298.03;1298.03;1298.03
307462.503;307462.503;307462.503;307462.503;307462.503;307462.503;307462.503;307462.503;307462.503;307462.503;307462.503
72866.873;317161.15;25971.126;254275.05;31152.083;255628.857;317161.15;47067.209;305289.086;29864.396;23454.783
753.257;40313.689;23302.56;4400.614;30646.323;31941.165;1287.272;24626.972;28751.537;123677.809;10675.883
52264.58;97857.699;170126.903;26632.477;67114.51;7749.205;20310.388;6765.252;136774.557;11908.269;6540.47
508631.277;50712.095;69172.12;14493.593;24061.11;5673.101;14948.052;35725.515;15500.643;78023.816;140543.264
12694.48;74882.812;26118.72;182.536;28170.916;79632.978;55432.649;34949.832;50983.206;31835.38;16527.845
15493.76;2859.624;64920.4;34054.559;1623.293;65879.304;12379.249;22121.432;18490.569;1623.293;4481.238
1640.103;27140.887;38884.41;51996.973;;31009.477;195294.306;58277.365;2125.412;;1364.398
12546.203;122886.207;9144.4;11351.077;;115923.1;390.93;583.551;1623.293;;45145.161
42299.747;1425.323;13453.194;5229.233;;1623.293;1409.46;206150.345;;;118199.294
174.327;;1409.46;1623.293;;;;107261.594;;;93305.557
141719.6;;;;;;;34375.543;;;34706.2
65303.607;;;;;;;1623.293;;;1623.293
1623.293;;;;;;;;;;
50286.883;10097.929;4570398.163;4574926.033;849714.062;4582841.106;105.199;24410.472;961001.87;60436.562;5717042.677
90605.847;537746.239;;;1017392.207;;334041.566;893145.039;21256.049;10032266.763;398675.93
178882.55;9178732.115;;;522043.831;;1834517.417;8181571.099;1675578.642;;
1032642.86;604740.905;;;;;;15436.81;;;
35283.423;;;;;;;;;;
102098.53;5115958.993;3090304.983;2314533.863;1005502.233;102470.223;3558570.46;102098.53;102470.223;6013346.173;158719.557
2314533.863;;;;;2314905.556;;512535.1;1903261.106;;569156.127
1114189.837;1114189.837;1114189.837;1114189.837;1114189.837;1114189.837;1114189.837;1114189.837;1114189.837;1114189.837;1114189.837
168328.863;168328.863;5690448.74;157737.766;5690448.74;166112.343;155521.246;157737.766;157737.766;168328.863;155521.246
;;168328.863;;166112.343;;;;;;
8514002.42;8514002.42;8514002.42;8514002.42;8514002.42;8514002.42;8514002.42;8514002.42;8514002.42;8514002.42;8514002.42
86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853
3285395.097;3457151.77;3285767.4;3285395.097;3457451.124;3285395.097;3286257.9;3285395.097;3285395.097;3293311.837;3285767.4
127419.773;19745.68;328326.233;127419.773;1110904.577;328326.233;329772.407;19745.68;329772.407;19745.68;19745.68
737260.943;58520.38;160708.403;321502.943;614131.747;280847.103;334834.97;58520.38;2294788.51;58520.38;997582.85
