real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26;81671.26
946927.243;946927.243;1857303.514;946927.243;2925807.404;946927.243;1857303.514;946927.243;946927.243;946927.243;1857303.514
197404.133;197404.133;76606.387;469492.497;76606.387;469492.497;76606.387;469492.497;197404.133;197404.133;469492.497
76606.387;76606.387;;76606.387;;76606.387;;76606.387;76606.387;76606.387;76606.387
115737.067;115737.067;115737.067;115737.067;115737.067;115737.067;115737.067;115737.067;115737.067;115737.067;115737.067
8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65
709238.883;709238.883;130354.617;1720438.524;284422.976;1720438.524;130354.617;1720438.524;709238.883;709238.883;130354.617
3168855.107;3168855.107;1440667.317;3168855.107;430087.573;3168855.107;1440667.317;3168855.107;3168855.107;3168855.107;1440667.317
;;236906.63;;236906.63;;236906.63;;;;4945214.164
;;5710993.477;;5710993.477;;5710993.477;;;;
14761.643;14761.643;14761.643;14761.643;14761.643;14761.643;14761.643;14761.643;14761.643;14761.643;14761.643
1490737.86;1490737.86;3103185.333;1490737.86;1614862.306;1490737.86;3103185.333;1490737.86;1490737.86;1490737.86;3103185.333
3950323.323;3950323.323;252957.796;877855.35;252957.796;877855.35;252957.796;877855.35;3950323.323;3950323.323;877855.35
2588418.813;2588418.813;;2588418.813;;2588418.813;;2588418.813;2588418.813;2588418.813;2588418.813
8186124.34;8186124.34;1023530.35;8186124.34;2911917.957;8186124.34;1023530.35;8186124.34;8186124.34;8186124.34;1023530.35
144154.513;144154.513;144154.513;144154.513;144154.513;144154.513;144154.513;144154.513;144154.513;144154.513;144154.513
95411.06;95411.06;95411.06;15800.293;95411.06;15800.293;95411.06;15800.293;95411.06;95411.06;15800.293
145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8;145226.8
242409.953;242409.953;569947.503;242409.953;881451.997;242409.953;569947.503;242409.953;242409.953;242409.953;569947.503
1388439.15;1388439.15;3722157.7;2375982.656;3722157.7;2375982.656;3722157.7;2375982.656;1388439.15;1388439.15;2375982.656
1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853;1222195.853
984541.447;984541.447;897517.82;984541.447;911746.38;984541.447;897517.82;984541.447;984541.447;984541.447;897517.82
592541.807;592541.807;359433.987;592541.807;5047210.993;592541.807;359433.987;592541.807;592541.807;592541.807;359433.987
324343.96;324343.96;7903478.14;27867.107;27867.107;27867.107;7903478.14;27867.107;324343.96;324343.96;3448808.954
27867.107;27867.107;27867.107;;;;27867.107;;27867.107;27867.107;27867.107
;;647573.407;;591328.039;;647573.407;;;;647573.407
;;151898.443;;151898.443;;151898.443;;;;
5321112.38;5321112.38;5321112.38;5321112.38;5321112.38;5321112.38;5321112.38;5321112.38;5321112.38;5321112.38;5321112.38
3137312.56;3137312.56;11291944.853;3137312.56;3778852.264;3137312.56;11291944.853;3137312.56;3137312.56;3137312.56;11291944.853
606735.883;606735.883;3852653.72;3211114.016;3852653.72;3211114.016;3852653.72;3211114.016;606735.883;606735.883;3211114.016
;;606735.883;606735.883;606735.883;606735.883;606735.883;606735.883;;;606735.883
456764.153;456764.153;456764.153;456764.153;456764.153;456764.153;456764.153;456764.153;456764.153;456764.153;456764.153
185526.103;185526.103;41116.853;185526.103;5967.057;185526.103;41116.853;185526.103;185526.103;185526.103;41116.853
44606.007;44606.007;25944.757;79512.803;25944.757;79512.803;25944.757;79512.803;44606.007;44606.007;79512.803
60598.707;60598.707;60598.707;60598.707;60598.707;60598.707;60598.707;60598.707;60598.707;60598.707;60598.707
;;1136179.447;;79663.203;;1136179.447;;;;1136179.447
;;82688.517;;82688.517;;82688.517;;;;
210313.893;210313.893;210313.893;210313.893;210313.893;210313.893;210313.893;210313.893;210313.893;210313.893;210313.893
5089643.953;5089643.953;4261406.746;5089643.953;4277279.453;5089643.953;4261406.746;5089643.953;5089643.953;5089643.953;4261406.746
1595482.597;1595482.597;1988426.526;1380222.63;42395.823;1380222.63;1988426.526;1380222.63;1595482.597;1595482.597;1380222.63
;;3541513.3;3541513.3;3541513.3;3541513.3;3541513.3;3541513.3;;;3541513.3
657521.443;657521.443;657521.443;240471.106;657521.443;240471.106;657521.443;240471.106;657521.443;657521.443;240471.106
1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36
563192.683;563192.683;595577.13;595577.13;595577.13;595577.13;595577.13;595577.13;563192.683;563192.683;595577.13
10134187.203;10134187.203;10134187.203;10134187.203;10134187.203;10134187.203;10134187.203;10134187.203;10134187.203;10134187.203;10134187.203
497073.97;497073.97;755462.309;497073.97;30050.716;497073.97;755462.309;497073.97;497073.97;497073.97;755462.309
100683.377;100683.377;30050.716;79101.076;111079.483;79101.076;30050.716;79101.076;100683.377;100683.377;79101.076
111079.483;111079.483;111079.483;111079.483;;111079.483;111079.483;111079.483;111079.483;111079.483;111079.483
39763.163;39763.163;39763.163;39763.163;39763.163;39763.163;39763.163;39763.163;39763.163;39763.163;39763.163
1131486.757;1131486.757;698612.06;710370.044;1119728.773;710370.044;698612.06;710370.044;1131486.757;1131486.757;698612.06
581394.42;581394.42;581394.42;581394.42;581394.42;581394.42;581394.42;581394.42;581394.42;581394.42;581394.42
1052151.917;1052151.917;1487531.357;1487531.357;1487531.357;1487531.357;1487531.357;1487531.357;1052151.917;1052151.917;1487531.357
13617136.423;13617136.423;13617136.423;13617136.423;13617136.423;13617136.423;13617136.423;13617136.423;13617136.423;13617136.423;13617136.423
600044.51;600044.51;;600044.51;;600044.51;;600044.51;600044.51;600044.51;2485.297
;;;2485.297;;2485.297;;2485.297;;;
1816247.547;1816247.547;1816247.547;1816247.547;1816247.547;1816247.547;1816247.547;1816247.547;1816247.547;1816247.547;1816247.547
4404530.217;4404530.217;361631.277;1814694.88;2462235.614;1814694.88;361631.277;1814694.88;4404530.217;4404530.217;361631.277
;;6107015.344;;;;6107015.344;;;;1814694.88
1247300.757;1247300.757;719250.147;1247300.757;4902514.613;1247300.757;719250.147;1247300.757;1247300.757;1247300.757;719250.147
1313449.957;1313449.957;1313449.957;826911.491;1313449.957;826911.491;1313449.957;826911.491;1313449.957;1313449.957;826911.491
;;;1313449.957;;1313449.957;;1313449.957;;;1313449.957
474126.55;474126.55;474126.55;474126.55;474126.55;474126.55;474126.55;474126.55;474126.55;474126.55;474126.55
484741.463;484741.463;484741.463;484741.463;484741.463;484741.463;484741.463;484741.463;484741.463;484741.463;484741.463
278700.923;278700.923;62156.2;278700.923;4622409.583;278700.923;62156.2;278700.923;278700.923;278700.923;62156.2
659494.043;659494.043;185643.32;868311.66;185643.32;868311.66;185643.32;868311.66;659494.043;659494.043;868311.66
755496.78;755496.78;755496.78;755496.78;755496.78;755496.78;755496.78;755496.78;755496.78;755496.78;755496.78
1895669.447;1895669.447;1895669.447;1895669.447;1895669.447;1895669.447;1895669.447;1895669.447;1895669.447;1895669.447;1895669.447
2389206.8;2389206.8;1587573.424;540552.21;2443658.991;540552.21;1587573.424;540552.21;2389206.8;2389206.8;1587573.424
;;2443658.991;;;;2443658.991;;;;540552.21
708382.393;708382.393;708382.393;708382.393;708382.393;708382.393;708382.393;708382.393;708382.393;708382.393;708382.393
6007003.367;6007003.367;6007003.367;6007003.367;6007003.367;6007003.367;6007003.367;6007003.367;6007003.367;6007003.367;6007003.367
84758.687;84758.687;263866.743;84758.687;263866.743;84758.687;263866.743;84758.687;84758.687;84758.687;260427.233
263866.743;263866.743;;260427.233;;260427.233;;260427.233;263866.743;263866.743;
3448243.84;3448243.84;2945193.094;3448243.84;3043562.234;3448243.84;2945193.094;3448243.84;3448243.84;3448243.84;2945193.094
870087.237;870087.237;870087.237;771718.097;870087.237;771718.097;870087.237;771718.097;870087.237;870087.237;771718.097
3568670.64;3568670.64;3568670.64;3568670.64;3568670.64;3568670.64;3568670.64;3568670.64;3568670.64;3568670.64;3568670.64
784706.723;784706.723;1004889.39;784706.723;462372.977;784706.723;1004889.39;784706.723;784706.723;784706.723;1004889.39
1557137.81;1557137.81;1304115.727;1557137.81;1304115.727;1557137.81;1304115.727;1557137.81;1557137.81;1557137.81;2406250.473
;;1557137.81;;1557137.81;;1557137.81;;;;1557137.81
;;;1202328.677;;1202328.677;;1202328.677;;;1202328.677
242797.0;242797.0;;;;;;;242797.0;242797.0;
