real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
166377.003;10897.09;86848.958;166377.003;166377.003;6108.939;55665.381;164530.0;166377.003;9111.868;30016.124
;;;;;2007.829;;;;;
1191.823;175858.178;3239.231;28137.731;150459.308;67182.967;7613.341;129514.246;109357.362;83351.974;81764.197
927.757;;386543.581;;321048.218;;133541.577;45913.006;110240.785;;236258.162
453.977;;;;;;61036.361;329054.497;111246.002;;135188.468
;;;;;;416277.961;;;;
363549.293;115163.444;66005.982;109976.807;634455.664;592956.238;55399.084;29812.24;629611.091;364641.607;489496.591
1116295.87;613710.82;1035829.64;72909.3;27326.268;82766.904;1035829.64;1089847.33;61263.337;616881.24;18808.571
126689.707;103716.487;3348833.817;3348833.817;17934.604;20140.18;3348833.817;293390.79;78032.634;2736.647;3348833.817
103716.487;3348833.817;;;3348833.817;294318.02;;3348833.817;331923.847;21178.817;
3348833.817;;;;;3348833.817;;;3348833.817;3348833.817;
;;41979.997;114163.77;217189.195;210487.877;263469.438;100099.735;112177.841;284046.957;46843.348
;;314900.894;;;234140.573;265347.23;;430125.01;;214960.971
273361.32;273361.32;273361.32;273361.32;273361.32;273361.32;273361.32;273361.32;273361.32;273361.32;273361.32
3022683.207;3022683.207;4571.22;601403.671;3722166.798;296850.499;211407.077;4338351.196;3729048.184;3022683.207;120400.541
2597240.007;2597240.007;2597240.007;2597240.007;97040.598;2597240.007;2597240.007;93568.453;103921.984;2597240.007;2597240.007
;;;;2597240.007;;;2597240.007;2597240.007;;
78120.287;30909.436;;31816.491;3792.14;46531.999;;110306.349;48794.069;;
35083.757;;;;16744.81;180719.159;;;29051.699;;
4668.387;;;;3762.187;;;;;;
;;;;61079.92;;;;;;
4850879.633;4850879.633;4850879.633;4850879.633;4850879.633;4850879.633;4850879.633;4850879.633;4850879.633;4850879.633;4850879.633
432333.743;432333.743;780497.629;696668.06;780669.354;780271.296;1044875.027;696711.141;432376.824;432333.743;696894.393
8037211.457;8037211.457;8037211.457;8037211.457;8037211.457;8037211.457;8037211.457;8037211.457;8037211.457;8037211.457;8037211.457
564512.147;564512.147;564512.147;564512.147;564512.147;564512.147;564512.147;564512.147;564512.147;564512.147;564512.147
;3542.269;;243598.15;;;113913.806;;102045.887;436259.317;
;389566.296;;77810.957;;;130069.553;;;755.697;
1606940.803;1606940.803;21318.087;296976.806;336503.737;98594.753;48805.717;25218.813;42830.44;822259.03;37979.213
16854.793;16854.793;16854.793;16854.793;16854.793;16854.793;16854.793;16854.793;16854.793;16854.793;16854.793
262856.65;262856.65;262856.65;262856.65;262856.65;262856.65;262856.65;262856.65;262856.65;262856.65;262856.65
159315.967;159315.967;159315.967;159315.967;159315.967;159315.967;159315.967;159315.967;159315.967;159315.967;159315.967
3077.107;399.486;;;;;;;;;
1874373.453;1874373.453;1874373.453;1874373.453;1874373.453;1874373.453;1874373.453;1874373.453;1874373.453;1874373.453;1874373.453
5238631.633;3293650.997;2202661.716;5238631.633;2202661.716;2724673.069;1174017.46;5238631.633;5238631.633;5238631.633;1174017.46
152216.963;152216.963;152216.963;152216.963;152216.963;152216.963;152216.963;152216.963;152216.963;152216.963;152216.963
1402289.043;1402289.043;1402289.043;1402289.043;1402289.043;1402289.043;1402289.043;1402289.043;1402289.043;1402289.043;1402289.043
16605.357;40356.295;28153.486;113795.04;16605.357;16605.357;15344.146;15130.207;220280.661;16605.357;609.323
;39477.061;575379.47;112409.41;;;535988.112;22114.007;427359.598;;15921.107
;218383.717;16605.357;16605.357;;;89998.023;31451.467;49.348;;2648.453
;16605.357;;;;;16605.357;16605.357;16605.357;;583884.286
;;;;;;;;;;49819.543
;;;;;;;;;;16605.357
511238.293;511238.293;511238.293;511238.293;511238.293;511238.293;511238.293;511238.293;511238.293;511238.293;511238.293
4320816.66;4320816.66;2962258.81;1829160.703;5050449.36;2770397.503;4930133.594;3797035.487;3797035.487;4320816.66;2021022.01
176844.323;176844.323;568112.43;32818.15;164647.023;376251.123;44331.257;32818.15;269106.107;176844.323;6485.457
226292.77;226292.77;602517.877;226292.77;126801.223;410656.57;6485.457;226292.77;226292.77;226292.77;32818.15
;;226292.77;;226292.77;226292.77;226292.77;;;;226292.77
370607.817;493976.864;582479.391;1495261.74;878215.412;280741.547;859743.4;433464.629;3507.446;961353.469;128590.309
344145.713;735514.944;895288.808;24285.697;474268.621;638311.814;54031.009;769693.204;600474.113;62009.7;70670.143
41466.71;905174.704;723529.778;1177114.014;1031914.547;841199.95;75649.73;1150257.136;318507.55;1030650.196;874786.32
110110.39;161470.263;209038.666;140797.447;1119008.84;685997.396;1017021.478;66169.376;686545.154;1865068.933;1442366.968
583456.13;1001326.45;242190.448;493607.393;309394.63;176406.62;287370.91;970757.712;250153.121;779223.646;177764.88
1031274.543;11207.96;872059.892;179531.796;301538.224;1062386.607;1252162.337;336858.972;21315.726;1129239.998;302992.567
96090.963;430773.237;108429.524;504472.596;85563.18;963672.967;554130.023;226380.419;203794.59;17555.959;1009932.449
598614.937;;485050.924;57231.899;583496.746;878285.683;78892.07;38842.769;1535545.923;703217.309;287000.765
1417687.483;;;252117.259;;;;380900.206;;423056.036;343769.664
2121.76;;;;;;;;;;
524179.147;;;;;;;;;;
389.2;4060.467;18284.634;183937.697;242598.957;270189.783;430518.547;319999.34;368192.343;16307.364;487075.547
1215413.46;635560.524;169658.887;170232.707;425049.554;719930.63;175794.674;945024.56;89385.763;15936.264;77117.604
88007.517;88007.517;144248.344;789856.967;;;705667.667;87690.98;252453.7;185831.257;307742.084
439980.867;439980.867;705667.667;155372.317;;;;445967.037;154629.96;88007.517;65315.504
;;;142.444;;;;;;982042.737;425634.764
2568883.087;2568883.087;2568883.087;2568883.087;2568883.087;2568883.087;2568883.087;2568883.087;2568883.087;2568883.087;2568883.087
714506.983;714506.983;61727.673;714506.983;61727.673;61727.673;61727.673;714506.983;714506.983;714506.983;714506.983
;;714506.983;;714506.983;714506.983;714506.983;;;;
603644.34;1394532.076;431662.894;3624885.233;355856.024;674973.88;2068798.063;1697622.887;785549.513;1495467.959;2094019.771
53073.337;66478.903;2010776.55;3184889.863;632550.248;234978.51;914268.823;1762426.617;1873002.25;2569515.13;50544.157
1510488.247;1510488.247;1510488.247;1510488.247;1510488.247;1510488.247;1510488.247;1510488.247;1510488.247;1510488.247;1510488.247
196515.09;196515.09;196515.09;196515.09;196515.09;196515.09;196515.09;196515.09;196515.09;196515.09;196515.09
1042716.353;1042716.353;390809.814;1184828.137;390809.814;1184828.137;390809.814;1184828.137;1042716.353;1042716.353;2745381.344
1066387.607;1066387.607;1066387.607;1066387.607;1066387.607;1066387.607;1066387.607;1066387.607;1066387.607;1066387.607;1184828.137
;;;;;;;;;;1066387.607
2759895.297;247293.441;482867.676;4778491.923;3471751.887;2240703.025;309054.879;3069872.979;1382283.946;2645048.313;4543666.1
164450.623;743839.516;45698.627;2256743.73;1570249.36;4418.878;29206.657;579682.725;26703.86;227218.233;128310.476
525242.987;;266350.628;125606.47;;218763.627;1114202.031;213643.772;38995.587;14121.063;446713.04
76875.067;;;;;243474.157;;225707.064;7694.464;92854.029;97037.746
31921.147;;;;;590750.74;;;;;
1243536.813;;;;;;;;;;
1556590.8;514849.232;265997.908;2332620.144;1008247.468;366172.319;566394.848;81122.534;455399.449;361052.064;183262.303
69650.27;67529.365;395477.922;196262.884;607694.897;349882.733;12194.275;64996.031;375077.546;480401.613;13245.673
10103.457;31339.405;42609.165;255582.937;393332.994;52278.752;;177310.964;92766.606;117343.187;163401.656
66669.007;165839.536;590366.528;;1069208.487;1137179.342;;391620.609;108008.939;801983.724;149056.577
32449.287;24919.103;913567.55;;;;;;288446.536;;268183.284
982447.21;;;;;;;;;;719967.564
1554023.173;1554023.173;1554023.173;1554023.173;1554023.173;1554023.173;1554023.173;1554023.173;1554023.173;1554023.173;1554023.173
2119443.42;2119443.42;2758050.62;2119443.42;2758050.62;2758050.62;2758050.62;2119443.42;2119443.42;2119443.42;2119443.42
331361.497;331361.497;331361.497;331361.497;331361.497;331361.497;331361.497;331361.497;331361.497;331361.497;331361.497
;;;;;;71539.766;;;315509.91;
75643.973;75643.973;;75643.973;;;;75643.973;75643.973;75643.973;
650566.227;392806.614;;608398.925;111342.163;949166.703;6529.583;1223137.626;1374370.716;157193.976;
;;;;;;;;768.224;;
1045963.637;1045963.637;1046293.377;1045963.637;1046293.377;1045963.637;1046293.377;1045963.637;1045963.637;1045963.637;1046293.377
7682716.093;7682716.093;7682716.093;7682716.093;7682716.093;7682716.093;7682716.093;7682716.093;7682716.093;7682716.093;7682716.093
