real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
3111417.74;3111417.74;3111417.74;3111417.74;2042913.85;3111417.74;3111417.74;3111417.74;3111417.74;3111417.74;3111417.74
517146.757;517146.757;801379.596;517146.757;801379.596;517146.757;801379.596;517146.757;517146.757;517146.757;1869883.486
392948.867;392948.867;175459.613;127925.503;175459.613;127925.503;175459.613;127925.503;392948.867;392948.867;127925.503
175459.613;175459.613;;175459.613;;175459.613;;175459.613;175459.613;175459.613;175459.613
3846.933;3846.933;3846.933;3846.933;3846.933;3846.933;3846.933;3846.933;3846.933;3846.933;3846.933
277105.893;277105.893;2754084.667;129950.85;2754084.667;129950.85;2754084.667;129950.85;277105.893;277105.893;129950.85
2744340.117;2744340.117;2052881.383;462797.476;148224.024;462797.476;2052881.383;462797.476;2744340.117;2744340.117;462797.476
7339822.523;7339822.523;360902.683;7339822.523;1371482.427;7339822.523;360902.683;7339822.523;7339822.523;7339822.523;360902.683
;;377501.37;;377501.37;;377501.37;;;;7339822.523
;;7339822.523;;7339822.523;;7339822.523;;;;
20145.357;20145.357;20145.357;20145.357;20145.357;20145.357;20145.357;20145.357;20145.357;20145.357;20145.357
3016722.14;3016722.14;1457605.667;3016722.14;2945928.694;3016722.14;1457605.667;3016722.14;3016722.14;3016722.14;1457605.667
610467.677;610467.677;610691.187;4378053.65;610691.187;4378053.65;610691.187;4378053.65;610467.677;610467.677;4378053.65
610691.187;610691.187;;610691.187;;610691.187;;610691.187;610691.187;610691.187;610691.187
1567325.44;1567325.44;8729919.43;3455713.047;8729919.43;3455713.047;8729919.43;3455713.047;1567325.44;1567325.44;3455713.047
1550478.053;1550478.053;1402193.607;1630088.82;1402193.607;1630088.82;1402193.607;1630088.82;1550478.053;1550478.053;1481804.374
188728.94;188728.94;188728.94;188728.94;188728.94;188728.94;188728.94;188728.94;188728.94;188728.94;188728.94
301121.2;301121.2;301121.2;301121.2;301121.2;301121.2;301121.2;301121.2;301121.2;301121.2;301121.2
114502.047;114502.047;547172.497;114502.047;416292.003;114502.047;547172.497;114502.047;114502.047;114502.047;547172.497
5948946.85;5948946.85;3615228.3;4961403.344;3615228.3;4961403.344;3615228.3;4961403.344;5948946.85;5948946.85;4961403.344
2660635.147;2660635.147;2660635.147;2660635.147;2660635.147;2660635.147;2660635.147;2660635.147;2660635.147;2660635.147;2660635.147
282404.993;282404.993;2027335.62;296633.553;2027335.62;296633.553;2027335.62;296633.553;282404.993;282404.993;2041564.18
