real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
23344.813;23344.813;23344.813;23344.813;23344.813;23344.813;23344.813;23344.813;23344.813;23344.813;23344.813
91000.333;91000.333;63297.059;908218.644;63297.059;87570.799;904789.11;908218.644;908218.644;91000.333;904789.11
1398709.89;1398709.89;1371006.616;;1371006.616;1395280.356;;;;1398709.89;
4969816.763;4969816.763;4969494.859;4969816.763;4969494.859;4969494.859;4969494.859;4969816.763;4969816.763;4969816.763;4969816.763
12340264.743;12340264.743;12340264.743;12340264.743;12340264.743;12340264.743;12340264.743;12340264.743;12340264.743;12340264.743;12340264.743
2556836.39;2556836.39;2556836.39;2556836.39;2556836.39;2556836.39;2556836.39;2556836.39;2556836.39;2556836.39;2556836.39
155160.15;155160.15;155160.15;155160.15;155160.15;155160.15;155160.15;155160.15;155160.15;155160.15;155160.15
431070.94;431070.94;431070.94;431070.94;431070.94;431070.94;431070.94;431070.94;431070.94;431070.94;431070.94
2416213.287;2416213.287;2416213.287;2416213.287;2416213.287;2416213.287;2416213.287;2416213.287;2416213.287;2416213.287;2416213.287
301655.05;301655.05;301655.05;301655.05;301655.05;301655.05;301655.05;301655.05;301655.05;301655.05;301655.05
546720.89;1183503.997;20376.187;596388.593;681685.034;309214.096;707809.393;149267.84;144713.617;112106.98;707809.393
1071868.087;347609.747;570299.818;630374.573;27549.315;87977.603;146906.297;54239.623;440087.013;418032.89;126571.233
209395.48;281194.564;784302.617;173396.875;114615.225;1405669.139;204534.034;86207.876;57309.42;355056.804;135825.96
1291566.673;529152.824;52614.727;450892.458;128027.122;42567.285;423305.207;608145.273;75042.374;400792.108;578138.837
209939.237;475709.491;400335.826;388333.158;257018.961;71503.005;31236.55;44349.872;434950.358;53039.708;53689.348
461267.58;72445.735;187404.083;10464.261;1657558.504;1818007.998;38690.807;4992.255;599812.308;14388.938;366247.588
258151.013;247239.658;3259.061;263840.357;21779.511;197424.519;164156.597;338560.005;85631.831;279895.715;32955.994
76499.8;414508.748;1735400.617;261129.861;1133644.067;260089.819;132461.347;428799.845;158732.608;149683.732;883892.773
676690.157;540522.901;9985.16;;35699.323;1169032.809;89115.164;1103528.998;208629.627;239923.572;277281.686
20297.49;1905812.918;199946.61;;3753.193;177318.34;85801.597;1270427.541;868604.972;436374.915;14552.253
19130.533;379749.474;;;43099.177;;57821.344;73858.877;18585.915;44815.554;
;;;;30401.537;;;;859598.111;330395.391;
;;;;237522.95;;;;16246.777;155903.181;
;;;;;;;;293814.12;474470.517;
1607.313;1607.313;1607.313;1607.313;1607.313;1607.313;1607.313;1607.313;1607.313;1607.313;1607.313
607.587;152471.873;91879.217;16395.883;2210816.247;194828.786;106502.593;316348.863;90807.057;152471.873;316348.863
128008.867;1213.73;221763.497;674.043;36922.617;39419.78;305948.151;259714.794;266660.617;1255.86;131022.439
183.7;4272.996;256647.318;337921.593;572500.361;15384.077;67638.711;15384.077;77650.09;161667.333;275603.072
161667.333;250.156;60694.791;75163.269;15384.077;;4702.724;;678346.73;15384.077;8650.811
15384.077;161667.333;140296.967;767703.013;;;15384.077;;15384.077;;
;15384.077;15384.077;15384.077;;;;;;;
184198.89;184198.89;184198.89;184198.89;184198.89;184198.89;184198.89;184198.89;184198.89;184198.89;184198.89
62277.537;62277.537;62277.537;62277.537;62277.537;62277.537;62277.537;62277.537;62277.537;62277.537;62277.537
151634.153;151634.153;10218.817;151634.153;10218.817;10218.817;10218.817;151634.153;151634.153;151634.153;151634.153
;;180291.433;;180291.433;180291.433;180291.433;;;;
1163163.62;1163163.62;1163163.62;1163163.62;1163163.62;1163163.62;1163163.62;1163163.62;1163163.62;1163163.62;1163163.62
376126.893;376126.893;376126.893;376126.893;376126.893;376126.893;376126.893;376126.893;376126.893;376126.893;376126.893
136136.03;136136.03;136136.03;136136.03;136136.03;136136.03;136136.03;136136.03;136136.03;136136.03;136136.03
2920412.463;2920412.463;2920412.463;2920412.463;2920412.463;2920412.463;2920412.463;2920412.463;2920412.463;2920412.463;2920412.463
24357.597;24357.597;2135459.507;24357.597;2135459.507;2135459.507;2135459.507;24357.597;24357.597;24357.597;24357.597
60133.447;60133.447;60133.447;60133.447;60133.447;60133.447;60133.447;60133.447;60133.447;60133.447;60133.447
1221016.01;1221016.01;1221016.01;1221016.01;1221016.01;1221016.01;1221016.01;1221016.01;1221016.01;1221016.01;1221016.01
554089.147;554089.147;51714.3;554089.147;51714.3;51714.3;51714.3;554089.147;554089.147;554089.147;554089.147
51714.3;51714.3;;51714.3;;;;51714.3;51714.3;51714.3;51714.3
145191.563;757936.143;210769.72;148690.96;58984.577;;120437.056;220736.673;656303.03;656014.546;785449.271
5718842.807;5718842.807;5718842.807;5718842.807;5718842.807;5718842.807;5718842.807;5718842.807;5718842.807;5718842.807;5718842.807
2417947.847;2417947.847;2417947.847;2417947.847;2417947.847;2417947.847;2417947.847;2417947.847;2417947.847;2417947.847;2417947.847
50876.053;50876.053;50876.053;50876.053;50876.053;50876.053;50876.053;50876.053;50876.053;50876.053;50876.053
1895836.55;1895836.55;1901390.507;1895836.55;1901390.507;1901390.507;1901390.507;1895836.55;1895836.55;1895836.55;1895836.55
1336096.55;1336096.55;1336096.55;1336096.55;1336096.55;1336096.55;1336096.55;1336096.55;1336096.55;1336096.55;1336096.55
52672.363;52672.363;90226.546;52672.363;90226.546;30014.736;90226.546;30014.736;52672.363;52672.363;30014.736
;;52672.363;;52672.363;52672.363;52672.363;52672.363;;;52672.363
170818.623;72492.276;97307.493;683308.377;49349.917;2144510.85;1176443.11;194571.229;44156.68;97307.493;43321.447
1567202.82;219468.229;292913.13;409728.454;63512.807;168076.349;2931601.467;41444.466;2942.917;1006332.446;97509.993
1123147.77;45739.426;2223017.967;22294.574;736888.76;153657.736;415686.867;714820.419;412507.573;928712.533;1658233.113
1935326.527;1935326.527;1835584.087;151103.37;2297611.88;54994.48;147469.82;537458.066;1245484.693;1935326.527;1449379.263
151103.37;151103.37;51360.93;;151103.37;;;249766.626;419320.417;151103.37;151103.37
;;;;;;;151103.37;151103.37;;
3944081.067;3944081.067;3944081.067;3944081.067;3944081.067;3944081.067;3944081.067;3944081.067;3944081.067;3944081.067;3944081.067
324245.32;873860.924;148425.805;221066.301;314560.847;1785596.751;541354.596;633681.526;382931.444;441564.155;509553.039
652.18;169414.605;906272.035;101421.864;51471.423;840930.874;899407.003;406540.072;240540.347;829740.557;746518.326
68257.363;143677.987;80555.427;12898.89;180068.083;62855.478;260163.185;21179.648;1099980.923;833207.073;282693.179
1549127.577;;322620.097;1087339.013;1237197.903;22526.111;;;155045.603;96784.826;621466.393
1219147.297;;68175.587;189241.143;;;;;;;253145.073
337657.85;;;;;;;;;;
83213.34;;;;;;;;;;
44974.7;3119528.757;1813763.993;13129.647;6814.123;2120502.133;4112229.04;2120502.133;13129.647;44974.7;779702.653
3184559.2;1252393.68;945655.54;1252393.68;633556.757;1252393.68;945655.54;1252393.68;1252393.68;3184559.2;1252393.68
1252393.68;;;;1252393.68;;;;;1252393.68;
94812.28;94812.28;94812.28;94812.28;94812.28;94812.28;94812.28;94812.28;94812.28;94812.28;94812.28
672280.387;672280.387;672280.387;672280.387;672280.387;672280.387;672280.387;672280.387;672280.387;672280.387;672280.387
6832353.507;6832353.507;709724.637;6832353.507;709724.637;709724.637;709724.637;6832353.507;6832353.507;6832353.507;6832353.507
36751.45;36751.45;36751.45;36751.45;36751.45;36751.45;36751.45;36751.45;36751.45;36751.45;36751.45
