real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
85736.82;85736.82;85736.82;85736.82;85736.82;85736.82;85736.82;85736.82;85736.82;85736.82;85736.82
4440439.473;4440439.473;660866.384;4440439.473;660866.384;660866.384;660866.384;4440439.473;4440439.473;4440439.473;4440439.473
1278355.557;1257663.957;914981.24;124877.89;541236.67;339378.017;276949.446;259656.836;1025871.22;1611997.433;259656.836
;;;;;;;2081791.573;;;
425943.913;425943.913;425943.913;425943.913;425943.913;425943.913;425943.913;425943.913;425943.913;425943.913;425943.913
874461.813;76062.751;94790.173;30668.04;94790.173;65157.72;165306.151;15898.187;130082.069;130082.069;874461.813
;269262.558;501870.137;;373953.98;472237.684;591777.958;;315943.232;282357.943;
;;450594.443;;176362.16;;601982.218;;;708829.75;
;;;;;;;;;314758.714;
27083.817;27083.817;241729.377;69619.707;85506.377;87083.56;55277.677;72566.764;241729.377;27083.817;13918.064
241729.377;241729.377;;241729.377;55277.677;58593.173;241729.377;;;241729.377;72566.764
;;;;241729.377;241729.377;;;;;
599342.39;599342.39;599342.39;599342.39;599342.39;599342.39;599342.39;599342.39;599342.39;599342.39;599342.39
435125.5;219610.53;1399756.146;80830.413;133659.897;87473.807;435125.5;219610.53;54443.576;54443.576;1285290.921
;93987.609;;;122286.037;104998.857;39989.831;168951.667;2114.206;517075.446;5366.834
;;;;;396105.014;151367.854;;310475.733;;126928.974
1974972.83;1974972.83;753601.443;1974972.83;753601.443;753601.443;753601.443;1974972.83;1974972.83;1974972.83;1974972.83
294347.77;294347.77;294347.77;294347.77;294347.77;294347.77;294347.77;294347.77;294347.77;294347.77;294347.77
;48650.337;414509.686;;414509.686;670861.276;383334.037;;;;383334.037
258137.233;258137.233;258137.233;258137.233;258137.233;258137.233;258137.233;258137.233;258137.233;258137.233;258137.233
10895428.653;10895428.653;10895428.653;10895428.653;10895428.653;10895428.653;10895428.653;10895428.653;10895428.653;10895428.653;10895428.653
979660.357;979660.357;979660.357;979660.357;979660.357;979660.357;979660.357;979660.357;979660.357;979660.357;979660.357
6579988.11;6579988.11;6579988.11;6579988.11;6579988.11;6579988.11;6579988.11;6579988.11;6579988.11;6579988.11;6579988.11
602651.547;602651.547;602651.547;602651.547;602651.547;602651.547;602651.547;602651.547;602651.547;602651.547;602651.547
1347356.727;1862759.167;1710043.713;1347356.727;2844543.501;2829022.859;2844543.501;3328940.121;2347155.787;111092.133;1710043.713
;;199139.127;3970738.433;3237537.481;4356516.627;199139.127;2970939.373;3970738.433;2497341.693;2336356.847
76871.807;76871.807;76871.807;76871.807;76871.807;76871.807;76871.807;76871.807;76871.807;76871.807;76871.807
2291827.233;1077338.637;1488157.898;2793846.46;402627.16;128823.444;736.358;198884.867;1123629.556;1531078.961;1536370.882
437918.153;915153.3;604080.601;13121.164;2124370.234;88003.107;48922.544;1373891.25;107894.556;1368893.624;432134.538
652622.02;61994.503;1877840.564;1014671.787;1402531.777;24401.727;919138.144;1584105.913;1821230.946;592317.75;4042890.607
121901.513;195029.217;148049.135;185415.551;292449.109;1597021.764;2753839.534;444883.595;;195029.217;1082848.293
;;;76784.584;;316351.67;;;;;
;;;;;586676.25;;;;;
58675.223;58675.223;4661231.437;914155.364;5690915.044;4934986.94;640399.861;914155.364;2732247.621;58675.223;4661231.437
6753079.197;6753079.197;;;;;;;;6753079.197;
1017797.78;1017797.78;43788.603;40207.423;577408.96;40207.423;43788.603;40207.423;1017797.78;1017797.78;40207.423
40207.423;40207.423;40207.423;;43788.603;;40207.423;;40207.423;40207.423;
;;;;40207.423;;;;;;
;;;;;661919.213;1006817.963;156174.67;1070858.743;;941960.37
;;;;;;;288343.714;286931.402;;
2098400.68;3757440.57;331059.327;567353.42;932675.557;955121.691;298052.876;1856550.994;159439.34;2979399.467;2809246.117
86864.087;62540.42;361348.016;536275.57;5790.428;281857.953;249518.87;54725.718;341461.556;217326.404;433093.587
69054.097;670198.92;2217047.039;8526.7;124493.653;154548.424;1115271.553;664741.622;2598041.239;2036592.087;1620625.647
409169.913;1075817.597;40046.6;343530.863;;1160722.824;40046.6;413100.438;299258.537;2062.003;32218.803
262736.86;2062.003;;1286185.513;;299258.537;;299258.537;;299258.537;
1647.093;299258.537;;299258.537;;;;;;;
298843.627;;;;;;;;;;
289645.097;289645.097;289645.097;289645.097;289645.097;289645.097;289645.097;289645.097;289645.097;289645.097;289645.097
2000151.187;2000151.187;2000151.187;2000151.187;2000151.187;2000151.187;2000151.187;2000151.187;2000151.187;2000151.187;2000151.187
210384.247;210384.247;210384.247;210384.247;210384.247;210384.247;210384.247;210384.247;210384.247;210384.247;210384.247
