real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
425676.8;158515.23;19385.844;329479.997;254888.363;839573.047;333070.597;856727.404;473808.314;67395.337;322471.12
32155.647;31701.583;32155.647;32155.647;32155.647;32155.647;32155.647;32155.647;32155.647;32155.647;32155.647
1795053.103;1795053.103;1795053.103;1795053.103;1795053.103;1795053.103;1795053.103;1795053.103;1795053.103;1795053.103;1795053.103
6089699.497;6089699.497;6089699.497;6089699.497;6089699.497;6089699.497;6089699.497;6089699.497;6089699.497;6089699.497;6089699.497
4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06;4988989.06
2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163;2443923.163
423531.427;423531.427;3999.819;423531.427;3999.819;3999.819;3999.819;423531.427;423531.427;423531.427;423531.427
218899.093;206341.28;137758.007;391619.094;1183823.54;153718.39;766928.543;341466.659;53946.354;309452.066;91074.323
;;;;;39865.013;;;;;
;;;65795.042;;;17250.51;;;;
4697640.947;4697640.947;2581345.6;4697640.947;2581345.6;2581345.6;2581345.6;4697640.947;4697640.947;4697640.947;4697640.947
83824.12;;;;36221.562;;;;;;
;664064.37;821691.963;750932.61;406933.247;;1101461.594;794692.047;1038333.627;;407222.913
5288569.27;5288569.27;5288569.27;5288569.27;5288569.27;5288569.27;5288569.27;5288569.27;5288569.27;5288569.27;5288569.27
2335535.867;2335535.867;2335535.867;2335535.867;2335535.867;2335535.867;2335535.867;2335535.867;2335535.867;2335535.867;2335535.867
;;;;32867.443;;;;;;20682.523
3798324.727;3798324.727;3798324.727;3798324.727;3798324.727;3798324.727;3798324.727;3798324.727;3798324.727;3798324.727;3798324.727
15311.72;15311.72;14925.597;15311.72;15311.72;15311.72;15311.72;15311.72;15311.72;15311.72;14925.597
650566.227;392806.614;;608398.925;111342.163;949166.703;6529.583;1223137.626;1374370.716;157193.976;
634256.16;634256.16;634256.16;634256.16;634256.16;634256.16;634256.16;634256.16;634256.16;634256.16;634256.16
2821544.483;2821544.483;2821544.483;2821544.483;2821544.483;2821544.483;2821544.483;2821544.483;2821544.483;2821544.483;2821544.483
1423208.68;1497336.516;2793707.574;1423208.68;1406017.383;886012.994;1406017.383;1403499.79;1494818.923;808678.636;2793707.574
9596597.983;9596597.983;9596597.983;9596597.983;9596597.983;9596597.983;9596597.983;9596597.983;9596597.983;9596597.983;9596597.983
4796586.24;4796586.24;4771484.36;4644733.06;4923337.54;4644733.06;4771484.36;4644733.06;4796586.24;4796586.24;4644733.06
13651912.057;10632842.157;13573492.587;13473577.984;10822792.12;10747945.974;10746505.33;13650954.897;13538183.654;10633325.641;13651912.057
1106760.95;1106760.95;1106760.95;1106760.95;1106760.95;1106760.95;1106760.95;1106760.95;1106760.95;1106760.95;1106760.95
1363183.577;1363183.577;1458203.847;1396629.077;1466130.04;1363616.041;1491216.883;1396629.077;1396196.613;1363183.577;1458203.847
2352754.977;2352754.977;2352754.977;2352754.977;2352754.977;2352754.977;2352754.977;2352754.977;2352754.977;2352754.977;2352754.977
96221.2;1248.634;102451.307;96221.2;102451.307;96221.2;96221.2;96221.2;96221.2;96221.2;96221.2
145.087;145.087;145.087;145.087;145.087;145.087;145.087;145.087;145.087;145.087;145.087
29433.6;29433.6;45833.14;142151.8;1286578.267;7556789.303;996591.697;2792652.89;7477515.332;29433.6;1314879.433
505690.367;505690.367;;;;;;992022.34;991476.74;505690.367;992632.713
1330913.62;1330913.62;1330913.62;1330913.62;1330913.62;1330913.62;1330913.62;1330913.62;1330913.62;1330913.62;1330913.62
42386.15;312163.05;1795575.403;107124.393;70870.097;1815285.163;228378.94;223256.551;13417086.47;69596.283;1786489.14
2407991.96;2407991.96;;2407991.96;;;;2407991.96;2407991.96;2407991.96;2407991.96
