real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
180633.18;180633.18;180633.18;180633.18;180633.18;180633.18;180633.18;180633.18;180633.18;180633.18;180633.18
334055.527;334055.527;4113628.616;334055.527;4113628.616;4113628.616;4113628.616;334055.527;334055.527;334055.527;334055.527
1047990.443;1068682.043;507515.963;2201468.11;1785109.33;412537.983;2049396.554;492259.164;1300474.78;714348.567;492259.164
;;;;;;;244554.427;;;
602495.087;48107.123;602495.087;48107.123;602495.087;602495.087;48107.123;602495.087;602495.087;602495.087;602495.087
5570.187;9901.249;37282.827;123623.96;37282.827;66915.28;337252.849;19158.813;1990.931;1990.931;5570.187
;524904.442;688.863;;120629.146;30321.316;202389.042;;564088.768;220201.057;
;;343572.557;;81570.566;;278049.782;;;85337.25;
;;;;;;;;;565273.286;
858.183;858.183;358063.623;36197.293;20310.623;18733.44;34881.323;358063.623;358063.623;858.183;6390.936
358063.623;358063.623;;358063.623;34881.323;111819.827;358063.623;;;358063.623;358063.623
;;;;358063.623;358063.623;;;;;
129542.61;129542.61;129542.61;129542.61;129542.61;128928.213;129542.61;129542.61;129542.61;129542.61;2389.433
1588764.073;4397204.577;547383.797;866612.969;127872.103;159408.833;985829.523;4613247.84;44551.424;44551.424;758733.323
;896058.391;;;105304.963;156533.143;59005.169;58639.333;8460.377;209902.904;222224.166
;;;;;593940.986;76223.146;;416861.374;;74256.026
89796.17;89796.17;1311167.557;89796.17;1311167.557;1311167.557;1311167.557;89796.17;89796.17;89796.17;89796.17
2821527.23;2821527.23;2821527.23;2821527.23;2821527.23;2821527.23;2821527.23;2821527.23;2821527.23;2821527.23;2821527.23
;85090.663;5408361.827;;5152010.237;5152010.237;5152010.237;;;;6818621.963
338702.767;338702.767;338702.767;338702.767;338702.767;338702.767;338702.767;338702.767;338702.767;338702.767;338702.767
2685767.347;2685767.347;2685767.347;2685767.347;2685767.347;2685767.347;2685767.347;2685767.347;2685767.347;2685767.347;2685767.347
6243804.643;6243804.643;6243804.643;6243804.643;6243804.643;6243804.643;6243804.643;6243804.643;6243804.643;6243804.643;6243804.643
1024549.89;1024549.89;1024549.89;1024549.89;1024549.89;1024549.89;1024549.89;1024549.89;1024549.89;1024549.89;1024549.89
1038892.833;523490.393;1523289.453;1038892.833;1523289.453;404310.307;1523289.453;1038892.833;39093.773;888706.927;1523289.453
1435117.267;1435117.267;453332.933;2820694.521;2419395.685;2434916.327;839111.127;2685993.793;2820694.521;3277990.867;2473492.713
;;488542.873;938914.567;187919.839;553136.373;488542.873;553136.373;938914.567;1435117.267;553136.373
73866.193;73866.193;73866.193;73866.193;73866.193;73866.193;73866.193;73866.193;73866.193;73866.193;73866.193
448662.147;1720914.363;266134.999;4406.54;1711118.64;2669429.556;1073993.079;222705.514;326660.337;1267174.039;1114424.025
391338.083;564749.077;935192.099;104771.836;330989.673;29889.893;6291.456;1228926.75;9998.444;1233924.376;394628.783
334044.66;1359855.233;1396837.428;1588146.213;19068.784;2415432.11;1683679.856;846302.531;1767806.001;260916.956;155657.471
161016.783;161016.783;207996.865;1468101.979;63596.891;139594.503;1825569.621;561981.081;;13558.69;54907.707
;;;116277.253;;39694.33;;;;;
;;;;;551079.75;;;;;
25072.777;25072.777;7689019.803;7689019.803;7689019.803;7689019.803;7689019.803;7689019.803;7689019.803;25072.777;7689019.803
7689019.803;7689019.803;;;;;;;;7689019.803;
