real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853;86471.853
3285395.097;3457151.77;3285767.4;3285395.097;3457451.124;3285395.097;3286257.9;3285395.097;3285395.097;3293311.837;3285767.4
1918947.29;1918947.29;1918947.29;1918947.29;1918947.29;1918947.29;1918947.29;1918947.29;1918947.29;1918947.29;1918947.29
442769.62;442769.62;443067.08;442769.62;443067.08;443067.08;443067.08;442769.62;442769.62;442769.62;442769.62
14378203.933;14378203.933;14373208.607;14376886.427;14373460.189;14377625.677;14372469.357;14376886.427;14377464.683;14378203.933;14373208.607
1727226.073;1727226.073;1727226.073;1727226.073;1727226.073;1727226.073;1727226.073;1727226.073;1727226.073;1727226.073;1727226.073
1236725.363;1236725.363;56023.539;700686.196;496055.706;700686.196;56023.539;700686.196;1236725.363;1236725.363;56023.539
;;496055.706;;;;496055.706;;;;700686.196
1254056.493;1254056.493;1254056.493;1254056.493;1254056.493;1254056.493;1254056.493;1254056.493;1254056.493;1254056.493;1254056.493
48307.963;48307.963;48307.963;48307.963;48307.963;48307.963;48307.963;48307.963;48307.963;48307.963;48307.963
234164.983;516853.367;234164.983;234164.983;516587.453;234430.897;234164.983;234430.897;234164.983;234430.897;3283760.561
;926279.173;;;3975608.837;;;;;;
842692.817;842692.817;5888597.733;842692.817;5178933.219;842692.817;5888597.733;842692.817;842692.817;842692.817;5888597.733
446249.583;446249.583;1504791.859;446249.583;1504791.859;446249.583;1504791.859;446249.583;446249.583;446249.583;446249.583
;;446249.583;;446249.583;;446249.583;;;;
10288686.423;10288686.423;10288686.423;10288686.423;10288686.423;10288686.423;10288686.423;10288686.423;10288686.423;10288686.423;10288686.423
347028.763;347028.763;347028.763;347028.763;347028.763;347028.763;347028.763;347028.763;347028.763;347028.763;347028.763
61378.157;61378.157;61378.157;61378.157;61378.157;61378.157;61378.157;61378.157;61378.157;61378.157;61378.157
4955146.847;4955146.847;4955146.847;4955146.847;4955146.847;4955146.847;4955146.847;4955146.847;4955146.847;4955146.847;4955146.847
10294869.293;10294869.293;10294869.293;10294869.293;10294869.293;10294869.293;10294869.293;10294869.293;10294869.293;10294869.293;10294869.293
6115629.763;6115629.763;6115629.763;6115629.763;6115629.763;6115629.763;6115629.763;6115629.763;6115629.763;6115629.763;6115629.763
5857.537;5857.537;5857.537;5857.537;5857.537;5857.537;5857.537;5857.537;5857.537;5857.537;5857.537
69041.13;69041.13;69041.13;69041.13;69041.13;69041.13;69041.13;69041.13;69041.13;69041.13;69041.13
981919.257;981919.257;1077326.4;981919.257;1077326.4;1077326.4;1077326.4;981919.257;981919.257;981919.257;981919.257
786697.153;2500661.92;2100438.64;3169093.612;1655016.764;1129436.377;4315505.219;2733483.311;4553403.723;277026.396;1660787.724
1750569.903;1727200.97;535579.577;326462.597;264083.678;961710.253;2945271.116;71172.506;3261845.01;381604.79;1636310.91
335941.26;335941.26;335941.26;;330901.863;162272.32;92864.623;;335941.26;335941.26;335941.26
6450054.097;6450054.097;6450054.097;6450054.097;6450054.097;6450054.097;6450054.097;6450054.097;6450054.097;6450054.097;6450054.097
294383.077;294383.077;1350378.143;294383.077;4711894.447;294383.077;1350378.143;294383.077;294383.077;294383.077;1350378.143
2436505.517;2436505.517;827640.583;273015.213;827640.583;273015.213;827640.583;273015.213;2436505.517;2436505.517;273015.213
809.653;809.653;809.653;809.653;809.653;809.653;809.653;809.653;809.653;809.653;809.653
5364511.91;5364511.91;5364511.91;5364511.91;5364511.91;5364511.91;5364511.91;5364511.91;5364511.91;5364511.91;5364511.91
1251871.14;1251871.14;1251871.14;1251871.14;1251871.14;1251871.14;1251871.14;1251871.14;1251871.14;1251871.14;1251871.14
