real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
637256.567;637256.567;637256.567;637256.567;637256.567;637256.567;637256.567;637256.567;637256.567;637256.567;637256.567
961468.887;961468.887;4257843.447;961468.887;4257843.447;4257843.447;4257843.447;961468.887;961468.887;961468.887;961468.887
1885284.767;1885284.767;1885284.767;1885284.767;1885284.767;1885284.767;1885284.767;1885284.767;1885284.767;1885284.767;1885284.767
7987.747;7987.747;7987.747;7987.747;7987.747;7987.747;7987.747;7987.747;7987.747;7987.747;7987.747
6243931.353;6243931.353;6243931.353;6243931.353;6243931.353;6243931.353;6243931.353;6243931.353;6243931.353;6243931.353;6243931.353
150018.133;150018.133;150018.133;150018.133;150018.133;150018.133;150018.133;150018.133;150018.133;150018.133;150018.133
4051.64;853879.623;4051.64;4051.64;1186974.153;4051.64;173393.793;853879.623;173393.793;853879.623;853879.623
1345098.43;128740.413;51920.977;1345098.43;232096.813;51920.977;405066.3;128740.413;405066.3;128740.413;1455282.96
39976.94;2288225.433;2899437.997;857138.937;314562.15;3162077.767;487531.637;2461194.92;1780709.09;2461194.92;313794.467
421528.277;39976.94;857138.937;;576435.64;393480.787;130585.127;857138.937;128208.6;39976.94;130585.127
;421528.277;;;4451145.147;244930.447;857138.937;;857138.937;421528.277;857138.937
;;;;857138.937;857138.937;;;;;
68163.15;68163.15;68163.15;68163.15;68163.15;68163.15;68163.15;68163.15;68163.15;68163.15;68163.15
2644.437;115941.313;178098.61;2644.437;6024.0;446264.34;6024.0;9037.257;40751.57;80584.786;178098.61
81168.91;985619.343;127388.811;81168.91;194938.944;519157.37;30326.473;101025.73;508873.06;179673.017;950088.717
1253785.073;65506.76;29976.134;519157.37;243196.974;40726.314;101025.73;173918.76;135917.533;550630.477;71178.691
179673.017;550630.477;505558.297;135917.533;108557.434;29708.164;1104088.19;43851.22;409924.383;1924.327;29708.164
550630.477;1924.327;1924.327;409924.383;84148.597;1924.327;237027.353;29708.164;1924.327;;1924.327
1924.327;;;1924.327;15145.854;;505558.297;1924.327;;;
;;;;1924.327;;1924.327;;;;
8863704.63;8863704.63;8863704.63;8863704.63;8863704.63;8863704.63;8863704.63;8863704.63;8863704.63;8863704.63;8863704.63
1719836.853;1719836.853;1719836.853;1719836.853;1719836.853;1719836.853;1719836.853;1719836.853;1719836.853;1719836.853;1719836.853
1539827.617;1539827.617;766932.466;1539827.617;766932.466;766932.466;766932.466;1539827.617;1539827.617;1539827.617;1539827.617
325476.25;325476.25;325476.25;325476.25;325476.25;325476.25;325476.25;325476.25;325476.25;325476.25;325476.25
350544.657;500314.223;95348.816;189643.79;184450.933;374413.051;189643.79;350544.657;374413.051;1668160.67;688717.104
4840867.257;544975.276;160582.539;4840867.257;;4864735.651;6026577.43;817128.713;101353.484;6429932.02;6050445.824
;7824247.743;;;;;;6137125.313;5175406.084;;
10187904.313;10187904.313;11680167.363;10187904.313;11680167.363;11680167.363;11680167.363;10187904.313;10187904.313;10187904.313;10187904.313
38303.273;38303.273;38303.273;38303.273;38303.273;38303.273;38303.273;38303.273;38303.273;38303.273;38303.273
4328699.027;4666411.816;4328699.027;4328699.027;82665.14;4666411.816;4328699.027;4666411.816;4328699.027;4666411.816;316907.856
;;;;405784.723;;;;;;
206893.743;206893.743;206893.743;206893.743;206893.743;206893.743;206893.743;206893.743;206893.743;206893.743;206893.743
2451.083;2451.083;2451.083;2451.083;2451.083;2451.083;2451.083;2451.083;2451.083;2451.083;2451.083
5461908.893;5461908.893;5461908.893;5461908.893;5461908.893;5461908.893;5461908.893;5461908.893;5461908.893;5461908.893;5461908.893
2437906.01;2437906.01;2437906.01;2299460.346;2437906.01;2299460.346;2437906.01;2299460.346;2437906.01;2437906.01;2299460.346
6449333.62;6449333.62;6449333.62;6449333.62;6449333.62;6449333.62;6449333.62;6449333.62;6449333.62;6449333.62;6449333.62
3252296.053;3252296.053;5437153.7;3252296.053;2424205.563;3252296.053;5437153.7;3252296.053;3252296.053;3252296.053;5437153.7
1826946.123;1826946.123;192347.77;1020438.26;192347.77;1020438.26;192347.77;1020438.26;1826946.123;1826946.123;1020438.26
182710.33;182710.33;182710.33;182710.33;182710.33;182710.33;182710.33;182710.33;182710.33;182710.33;182710.33
70085.153;845596.72;3549644.016;39252.154;225233.576;55878.636;161166.643;14450.315;3749157.26;59305.876;2766181.782
46618.793;582921.45;18638.216;49559.794;68081.819;353.99;112167.669;5188.512;1280513.212;10934.736;261233.468
683.937;1145.91;344755.729;38602.82;30855.419;675.134;43221.309;67838.755;9347.555;140042.88;96357.639
3172.89;;386604.676;760947.767;899935.805;79201.198;131334.373;114416.031;99700.941;582921.45;63773.665
861112.133;;45006.019;362784.983;918108.456;145571.737;125422.642;1117471.162;77527.857;31000.713;458883.008
582921.45;;36947.666;21186.326;78139.403;684154.357;297467.05;37565.306;421868.987;1145.91;83970.608
1145.91;;1145.91;2183.766;238065.429;81836.957;203575.326;155091.55;31504.013;;8261.852
;;;1145.91;30475.426;51172.3;251599.569;53202.17;143742.633;;335468.206
;;;;273.57;67065.94;32777.713;105186.524;35893.957;;12762.27
;;;;95315.846;1145.91;36947.666;1145.91;1145.91;;1145.91
;;;;1145.91;;1145.91;;;;
405170.507;405170.507;405170.507;405170.507;405170.507;405170.507;405170.507;405170.507;405170.507;405170.507;405170.507
6241.89;6241.89;6241.89;6241.89;6241.89;6241.89;6241.89;6241.89;6241.89;6241.89;6241.89
1041895.467;1041895.467;3855580.57;1041895.467;3855580.57;1041895.467;3855580.57;1041895.467;1041895.467;1041895.467;2765852.43
1336437.513;1336437.513;499387.344;1336437.513;532683.497;1336437.513;499387.344;1336437.513;1336437.513;1336437.513;499387.344
749827.233;749827.233;680022.064;1420904.08;680022.064;1420904.08;680022.064;1420904.08;749827.233;749827.233;1420904.08
10042089.413;10042089.413;10042089.413;10042089.413;10042089.413;10042089.413;10042089.413;10042089.413;10042089.413;10042089.413;10042089.413
130369.52;130369.52;843395.97;130369.52;843395.97;843395.97;843395.97;130369.52;130369.52;130369.52;130369.52
226335.077;226335.077;226335.077;226335.077;226335.077;226335.077;226335.077;226335.077;226335.077;226335.077;226335.077
43873.377;43873.377;43873.377;43873.377;43873.377;43873.377;43873.377;43873.377;43873.377;43873.377;43873.377
4288345.333;4288345.333;4288345.333;4288345.333;4288345.333;4288345.333;4288345.333;4288345.333;4288345.333;4288345.333;4288345.333
1268063.587;1268063.587;132697.047;1268063.587;132697.047;132697.047;132697.047;1268063.587;1268063.587;1268063.587;1268063.587
2691752.503;2691752.503;8545418.884;2288419.459;4777695.805;9077601.351;4374362.761;9726504.457;4374362.761;2691752.503;1281602.229
429805.86;429805.86;147646.727;429805.86;147646.727;980207.543;67656.667;429805.86;429805.86;429805.86;67656.667
2670974.013;2670974.013;536954.197;1598478.137;382197.82;382197.82;382197.82;1598478.137;1598478.137;2670974.013;1598478.137
1568009.29;1568009.29;1568009.29;1568009.29;1568009.29;1568009.29;1568009.29;1568009.29;1568009.29;1568009.29;1568009.29
7947126.353;7947126.353;7947126.353;7947126.353;7947126.353;7947126.353;7947126.353;7947126.353;7947126.353;7947126.353;7947126.353
425215.203;425215.203;351582.556;658650.416;186478.656;184929.134;308263.313;279005.783;179913.157;411145.989;274746.639
275409.96;275409.96;188068.99;105159.404;275409.96;6117.8;101197.61;2649.849;79923.127;152978.083;16719.063
