real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
16513.473;85931.407;32989.903;16513.473;85931.407;85931.407;32070.993;31986.073;85931.407;85931.407;17941.639
;;;2328038.643;3181235.407;2700625.597;2328547.899;2328038.643;2701544.507;;2328038.643
3178789.597;3178789.597;3178789.597;3178789.597;3178789.597;3178789.597;3178789.597;3178789.597;3178789.597;3178789.597;3178789.597
1237127.093;1237127.093;1237127.093;1237127.093;1237127.093;1237127.093;1237127.093;1237127.093;1237127.093;1237127.093;1237127.093
677421.863;295943.132;11061.588;402734.003;114827.617;1159129.655;1134430.286;144266.954;28076.589;1486158.287;81457.268
5084.313;261276.187;679035.768;45133.035;349346.63;433507.588;9279.523;1077137.902;231455.772;40321.645;69240.546
57440.51;100799.118;21280.222;618367.398;53048.445;10654.816;3083.581;23242.972;2721.247;23772.485;20198.413
131055.593;;9097.342;;201697.009;32796.076;12119.711;9977.918;38583.937;119464.815;1692.343
133416.28;;6304.559;;205.446;23013.756;65924.161;11509.741;44966.716;2229.501;5804.817
468.577;;122.745;;252577.266;1396.163;11800.555;1868.998;31540.385;917.136;18444.473
;;142253.461;;20604.542;83.216;72374.562;2525.751;13534.751;44867.035;1816.803
;;132319.061;;140751.972;24989.404;80747.019;217297.158;1573.411;8547.115;13729.976
;;1805.142;;4989098.033;25566.547;21206.153;92457.924;27839.82;34756.638;68285.846
;;48318.223;;;70342.459;13717.924;135349.761;35215.589;32809.919;106516.373
;;47534.092;;;8318.745;148553.979;;19285.206;177158.971;607609.51
;;3847.609;;;33852.078;12923.282;;22.479;;59915.777
;;25184.279;;;275514.632;28437.769;;105099.054;;
;;133389.421;;;50085.966;30231.409;;16149.994;;
;;24230.224;;;;133873.23;;;;
;;;;;;32394.318;;;;
;;;;;;901218.444;;;;
344687.913;344687.913;276058.31;344687.913;276058.31;276058.31;276058.31;344687.913;344687.913;344687.913;344687.913
276058.31;276058.31;;276058.31;;;;276058.31;276058.31;276058.31;276058.31
244932.427;244932.427;1040858.163;244932.427;244932.427;1040459.5;244932.427;244932.427;1555635.686;244932.427;244932.427
;;244932.427;;;244932.427;;;244932.427;;
84141.57;84141.57;84141.57;84141.57;84141.57;84141.57;84141.57;84141.57;84141.57;84141.57;84141.57
92113.793;92113.793;92113.793;92113.793;92113.793;92113.793;92113.793;92113.793;92113.793;92113.793;92113.793
3313052.05;3313052.05;3313052.05;3313052.05;3313052.05;3313052.05;3313052.05;3313052.05;3313052.05;3313052.05;3313052.05
1333780.61;1333780.61;1059941.706;5063971.863;705148.727;780419.396;1059941.706;91872.8;237912.69;4542844.467;481225.63
;;;308411.036;307009.83;222122.014;;436520.44;146029.736;;389342.676
69576.317;69576.317;69576.317;69576.317;69576.317;69576.317;69576.317;69576.317;69576.317;69576.317;69576.317
