real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
10074.433;10074.433;10074.433;10074.433;10074.433;10074.433;10074.433;10074.433;10074.433;10074.433;10074.433
2005267.113;2005267.113;1472755.553;2005267.113;1472755.553;1472755.553;1472755.553;2005267.113;2005267.113;2005267.113;2005267.113
258532.233;258532.233;258532.233;258532.233;258532.233;258532.233;258532.233;258532.233;258532.233;258532.233;258532.233
843.253;843.253;843.253;843.253;843.253;843.253;843.253;843.253;843.253;843.253;843.253
1552158.647;1552158.647;1552158.647;1552158.647;1552158.647;1552158.647;1552158.647;1552158.647;1552158.647;1552158.647;1552158.647
72588.867;72588.867;72588.867;72588.867;72588.867;72588.867;72588.867;72588.867;72588.867;72588.867;72588.867
477.36;199088.377;477.36;477.36;88004.847;477.36;879574.207;199088.377;879574.207;199088.377;199088.377
4280395.08;559291.587;802302.023;2027805.083;190473.187;802302.023;17503.7;559291.587;17503.7;559291.587;93952.04
88061.06;4453364.567;2290444.853;861326.063;539660.85;3579512.233;366691.363;2027805.083;3844784.42;4280395.08;304823.533
861326.063;88061.06;861326.063;;42182.36;189012.213;2290444.853;861326.063;454284.4;88061.06;2027805.083
;861326.063;;;2290444.853;156377.553;861326.063;;861326.063;861326.063;861326.063
;;;;861326.063;861326.063;;;;;
509098.593;623264.85;623264.85;509098.593;623264.85;355099.12;623264.85;509098.593;509098.593;469265.377;623264.85
24131.563;55989.687;422786.133;24131.563;10922.0;268786.66;10922.0;9506.743;1014898.4;860898.927;422786.133
310741.09;975065.184;40233.716;310741.09;332016.056;1595526.63;8770.527;614025.27;18081.94;52543.983;105561.253
860898.927;52543.983;202240.866;1595526.63;302317.026;23114.686;614025.27;1940765.24;185704.467;79372.523;18982.309
52543.983;79372.523;9500.703;185704.467;18812.566;14942.836;1010595.81;389037.78;39982.617;4230.673;14942.836
79372.523;4230.673;4230.673;39982.617;23029.403;4230.673;308486.647;14942.836;4230.673;;4230.673
4230.673;;;4230.673;80562.146;;9500.703;4230.673;;;
;;;;4230.673;;4230.673;;;;
4059013.37;4059013.37;4059013.37;4059013.37;4059013.37;4059013.37;4059013.37;4059013.37;4059013.37;4059013.37;4059013.37
1299862.707;1299862.707;1299862.707;1299862.707;1299862.707;1299862.707;1299862.707;1299862.707;1299862.707;1299862.707;1299862.707
520859.383;520859.383;674143.534;520859.383;674143.534;674143.534;674143.534;520859.383;520859.383;520859.383;520859.383
281261.75;281261.75;281261.75;281261.75;281261.75;281261.75;281261.75;281261.75;281261.75;281261.75;281261.75
158256.343;19666.447;102006.184;1608731.21;7999121.137;134387.949;423021.037;29844.734;134387.949;19666.447;352688.776
7999121.137;538162.724;7999121.137;7999121.137;;7999121.137;7999121.137;266009.287;96001.516;7999121.137;7999121.137
;7999121.137;;;;;;7999121.137;7999121.137;;
1034071.637;1034071.637;1034071.637;1034071.637;1034071.637;1034071.637;1034071.637;1034071.637;1034071.637;1034071.637;1034071.637
6211.727;6211.727;6211.727;6211.727;6211.727;6211.727;6211.727;6211.727;6211.727;6211.727;6211.727
2269860.72;2269860.72;2269860.72;2269860.72;204956.86;2269860.72;2269860.72;2269860.72;2269860.72;2269860.72;2269860.72
;;;;2269860.72;;;;;;
996201.257;996201.257;996201.257;996201.257;996201.257;996201.257;996201.257;996201.257;996201.257;996201.257;996201.257
32518.917;32518.917;32518.917;32518.917;32518.917;32518.917;32518.917;32518.917;32518.917;32518.917;32518.917
1682636.463;1682636.463;3735718.97;1821082.127;3735718.97;1821082.127;3735718.97;1821082.127;1682636.463;1682636.463;3874164.634
870856.99;870856.99;870856.99;870856.99;870856.99;870856.99;870856.99;870856.99;870856.99;870856.99;870856.99
5676673.047;5676673.047;5676673.047;5676673.047;5676673.047;5676673.047;5676673.047;5676673.047;5676673.047;5676673.047;5676673.047
1478466.947;1478466.947;2245188.3;1478466.947;2306557.437;1478466.947;2245188.3;1478466.947;1478466.947;1478466.947;2245188.3
5855395.877;5855395.877;1005678.23;177587.74;1005678.23;177587.74;1005678.23;177587.74;5855395.877;5855395.877;177587.74
154379.67;154379.67;154379.67;154379.67;154379.67;154379.67;154379.67;154379.67;154379.67;154379.67;154379.67
19919.847;940134.497;431962.384;131744.846;10780.424;171281.364;65993.357;50496.685;242542.735;167854.124;649737.775
85186.207;3332677.353;566215.514;40445.206;34860.181;1225.01;19637.331;9396.488;2690770.788;75659.264;39147.505
400.063;24254.09;64578.271;35151.18;22176.581;1770.866;9810.691;89360.245;175326.445;2766644.893;88316.361
49859.11;;666313.324;4053235.28;2444993.807;4455489.526;3237679.621;2245631.101;402531.419;3388362.55;115212.335
140702.17;;94326.72;690133.017;530636.544;39469.263;475694.81;331273.838;400335.256;51167.287;109994.992
3332677.353;;80297.334;259291.477;21312.597;368763.643;271410.95;44421.694;147009.013;24254.09;15481.392
24254.09;;24254.09;90092.234;78477.601;1366908.043;25512.674;413786.45;67947.987;;327901.148
;;;24254.09;348823.574;6857.7;127699.431;46249.83;215936.397;;43830.794
;;;;57756.43;15102.06;19980.287;274112.476;81351.043;;25017.73
;;;;21929.154;24254.09;80297.334;24254.09;24254.09;;24254.09
;;;;24254.09;;24254.09;;;;
